OpenAPI feature,Count
Items_Depth_1,2
ParameterComponent,0
Format_binary_Depth_1,1
SchemaType_string,10
Example,1
SecuritySchemeComponent,0
RequiredParameter,2
OperationExtension,0
RequiredRequestBody,2
RefSchema_Depth_1,3
SchemaType_array,2
GlobalExtension,0
GlobalWebhook,0
ResponseHeader,0
Path_Post,2
OperationParameter,2
Schema_Depth_1,16
Header,0
ResponseContent,2
ResponseLink,0
PathServer,0
Tag,0
Component,2
Schema_Depth_2,2
Properties_Depth_1,8
ParameterExtension,0
Encoding,0
Enum_Depth_1,0
ResponseCode_200,2
ResponseExtension,0
Server,2
Link,0
PathParameter,0
CallbackComponent,0
OperationTag,2
SchemaComponent,2
ExampleComponent,0
RequestBodyComponent,0
ResponsesExtension,0
RequestBodyContent,2
MediaTypeEncoding,0
Responses,2
Enum_Depth_2,0
LinkComponent,0
ComponentExtension,0
RequestBodyExtension,0
PathExtension,0
path_Parameter,2
SchemaType_object,1
ResponseComponent,0
ServerVariable,0
Operation,2
RequestBody,2
RequestBodyContent_multipart/form-data,2
ResponseContent_application/json,2
ExampleExtension,0
Properties_Depth_2,0
SchemaExtension_Depth_2,0
Path,2
SchemaExtension_Depth_1,0
MediaTypeExtension,0
Response,2
Callback,0
HeaderComponent,0
ServerExtension,0
