OpenAPI feature,Count
path_Parameter,28
ParameterComponent,0
SchemaExtension_Depth_1,0
ResponseContent_application/json,90
PathServer,0
Items_Depth_3,10
OperationTag,90
Items_Depth_1,672
Responses,90
Properties_Depth_3,132
MaxLength_Depth_3,42
Enum_Depth_4,0
SecurityScheme_In_header,1
LinkComponent,0
ServerExtension,0
OperationParameter,1341
Schema_Depth_1,5277
CallbackComponent,0
ResponseHeader,0
ResponseLink,0
MaxLength_Depth_2,1186
Format_float_Depth_2,42
SecuritySchemeExtension,0
ServerVariable,0
Properties_Depth_2,6401
ResponsesExtension,0
DefaultResponse,90
RefSchema_Depth_3,6
query_Parameter,1313
SchemaType_integer,1976
Format_int32_Depth_1,1064
Format_int32_Depth_2,721
RefSchema_Depth_2,201
MediaTypeEncoding,0
RequiredSchema_Depth_3,3
Schema_Depth_4,22
SchemaType_string,6150
Enum_Depth_1,53
Enum_Depth_2,441
RequiredSchema_Depth_1,84
ResponseComponent,0
ExampleComponent,0
SchemaExtension_Depth_4,0
Format_date_Depth_3,16
Format_date-time_Depth_1,52
SecuritySchemeComponent,3
Format_date_Depth_2,231
Link,0
Properties_Depth_4,12
SchemaType_boolean,564
MediaTypeExtension,0
Callback,0
Format_float_Depth_1,28
NullableSchema_Depth_1,2206
GlobalExtension,0
TagExtension,0
Operation,90
RefSchema_Depth_1,254
PathParameter,0
MediaTypeExample,1
GlobalSecurity,3
Tag,19
Encoding,0
Example,2
Format_int32_Depth_4,3
Response,90
SchemaType_object,685
SchemaExtension_Depth_3,0
Properties_Depth_1,3680
NullableSchema_Depth_3,60
SchemaComponent,166
SchemaType_array,1008
Header,0
ResponseContent,90
NullableSchema_Depth_2,5343
ResponseExtension,0
Server,1
OperationExtension,0
RequiredParameter,134
HeaderComponent,0
SecurityScheme_Type_apiKey,3
PathExtension,0
RequiredSchema_Depth_2,188
Format_int32_Depth_3,168
SchemaType_number,2447
Component,169
Path_Get,90
SchemaExtension_Depth_2,0
Format_date_Depth_1,206
SchemaExample_Depth_1,1
RefSchema_Depth_4,2
MaxLength_Depth_1,390
Path,90
ParameterExtension,62
Enum_Depth_3,0
ComponentExtension,0
GlobalWebhook,0
ExplodeParameter,395
Schema_Depth_2,7073
SecurityScheme_In_query,2
RequestBodyComponent,0
Format_date-time_Depth_2,100
Items_Depth_2,326
Schema_Depth_3,458
