OpenAPI feature,Count
Properties_Depth_1,128
Response,16
Schema_Depth_3,17
Properties_Depth_3,4
Link,0
PathServer,0
Operation,8
Enum_Depth_1,0
RequiredRequestBody,1
ResponseComponent,0
RefSchema_Depth_1,18
SchemaType_integer,10
ResponseCode_200,8
RequestBodyContent,1
SchemaType_number,9
AllOf_Depth_1,7
RequiredSchema_Depth_2,27
MediaTypeEncoding,0
Example,16
Enum_Depth_3,0
OperationExtension,0
Schema_Depth_1,174
Responses,8
ResponseHeader,0
SchemaExtension_Depth_2,0
ResponseExtension,0
Component,16
Tag,0
SchemaExample_Depth_1,9
ResponsesExtension,0
Header,0
RequiredSchema_Depth_1,3
ServerVariable,0
SchemaExtension_Depth_1,0
ResponseContent_application/json,16
Properties_Depth_2,80
PathExtension,0
RequestBodyComponent,0
HeaderComponent,0
Encoding,0
ResponseContent,16
Callback,0
RequestBodyContent_application/json,1
ExampleComponent,0
SecurityScheme_In_header,1
LinkComponent,0
ComponentExtension,0
ServerExtension,0
Path,8
SchemaType_object,56
SchemaType_array,36
Items_Depth_1,23
RefSchema_Depth_3,2
SchemaComponent,15
CallbackComponent,0
RequiredParameter,7
ResponseCode_422,8
Server,1
AllOf_Depth_2,1
RefSchema_Depth_2,21
SchemaExtension_Depth_3,0
ParameterComponent,0
OperationTag,8
SchemaType_string,174
RequestBodyExtension,0
SecurityScheme_Type_apiKey,1
SecuritySchemeExtension,0
ResponseLink,0
Path_Post,1
MediaTypeExtension,0
SchemaType_boolean,2
GlobalExtension,0
Items_Depth_2,13
SecuritySchemeComponent,1
GlobalWebhook,0
ParameterExtension,0
Schema_Depth_2,104
Enum_Depth_2,0
RequestBody,1
Path_Get,7
OperationParameter,7
PathParameter,0
path_Parameter,7
ParameterExample,7
