OpenAPI feature,Count
PathParameter,0
GlobalExtension,0
ServerVariable,0
OperationExtension,0
SchemaType_string,11
Path,2
MediaTypeExtension,0
MediaTypeEncoding,0
PathExtension,0
ServerExtension,0
Path_Post,1
OperationParameter,9
Enum_Depth_1,4
SchemaExtension_Depth_1,0
RequiredParameter,5
Response,2
ResponseContent_application/json; charset=utf-8,2
Callback,0
Encoding,0
Properties_Depth_1,0
Responses,2
ResponseContent,2
ResponseExtension,0
Schema_Depth_1,11
AllowEmptyValueParameter,1
ResponseLink,0
PathServer,0
Tag,0
Example,2
ParameterExtension,0
ResponsesExtension,0
ExampleExtension,0
Link,0
Path_Get,1
Server,2
Operation,2
query_Parameter,9
ResponseCode_200,2
ResponseHeader,0
Header,0
GlobalWebhook,0
