OpenAPI feature,Count
Callback,0
Format_int32_Depth_2,73
Enum_Depth_3,0
Properties_Depth_3,0
ResponseHeader,0
SchemaType_integer,554
RefSchema_Depth_1,30
SchemaType_string,648
SchemaExtension_Depth_3,0
LinkComponent,0
Schema_Depth_1,1244
ResponseExtension,0
PathParameter,0
LinkOperationId,1
SecuritySchemeComponent,1
SecuritySchemeExtension,0
GlobalWebhook,0
Response,683
RequestBodyContent,12
Schema_Depth_2,177
Format_string_Depth_1,6
SchemaType_object,105
RequiredParameter,571
RequestBodyExtension,0
SchemaType_array,119
LinkExtension,0
LinkParameter,24
ComponentExtension,0
ExternalDocExtension,0
Tag,0
ResponseCode_400,327
MediaTypeEncoding,0
RequestBodyContent_application/json,12
SchemaExtension_Depth_2,0
Path_Delete,18
Items_Depth_2,5
AdditionalProperties_Depth_1,19
Responses,356
GlobalSecurity,1
SchemaExtension_Depth_1,0
Format_int32_Depth_1,474
Items_Depth_1,114
ResponseComponent,0
HeaderComponent,0
Path_Get,186
ResponseContent_application/json,356
LinkServer,16
Component,25
OperationExtension,0
Operation,356
Header,0
Link,16
MediaTypeExtension,0
Path_Post,17
Properties_Depth_2,44
CallbackComponent,0
ServerVariable,0
GlobalExternalDoc,1
OperationParameter,571
Properties_Depth_1,281
ResponseLink,16
ResponseCode_200,356
PathServer,0
RequestBody,12
RequiredRequestBody,5
OperationTag,356
SecurityScheme_Scheme_basic,1
ExampleComponent,0
ServerExtension,0
ResponsesExtension,0
RefSchema_Depth_2,14
Format_string_Depth_2,1
ParameterComponent,0
GlobalExtension,0
ResponseContent,356
Path_Put,135
LinkOperationRef,15
SecurityScheme_Type_http,1
path_Parameter,571
Schema_Depth_3,5
Encoding,0
Enum_Depth_1,0
Example,0
Path,356
PathExtension,0
SchemaComponent,24
Server,2
Enum_Depth_2,0
RequestBodyComponent,0
ParameterExtension,0
