OpenAPI feature,Count
ResponseCode_413,1
MaxItems_Depth_1,4
SchemaExtension_Depth_2,0
ResponseCode_204,168
ResponseCode_302,9
Items_Depth_1,999
Path_Patch,52
MinLength_Depth_1,8
Maximum_Depth_2,1
ResponseCode_205,3
OperationExtension,664
OperationParameter,1772
ResponseContent,1234
header_Parameter,6
Properties_Depth_1,37807
SchemaType_string,51318
ResponseCode_304,118
Properties_Depth_2,27871
Format_uri_Depth_2,5412
TagExtension,0
OperationExternalDoc,660
ExternalDocExtension,0
Format_date-time_Depth_2,647
Path_Put,64
RequestBodyContent_text/plain,1
path_Parameter,1297
Enum_Depth_2,699
ResponseComponent,20
Encoding,0
ResponseHeader,179
PathExtension,0
SecuritySchemeComponent,0
RequiredSchema_Depth_3,605
Path_Delete,112
AdditionalProperties_Depth_1,59
ResponseCode_301,8
SchemaExtension_Depth_4,0
MaxLength_Depth_2,10
ResponseContent_application/octocat-stream,1
RequestBody,195
HeaderMultipleExamples,0
ResponseContent_application/json,1222
Response,1541
ResponseCode_403,160
Format_email_Depth_1,31
LinkComponent,0
CallbackComponent,0
Example,35194
Items_Depth_3,20
AnyOf_Depth_2,4
ServerExtension,0
ExampleExtension,0
ResponseCode_503,15
Properties_Depth_4,14
ServerVariable,2
Link,0
ResponseCode_201,87
Items_Depth_2,442
MaxLength_Depth_1,31
Minimum_Depth_1,8
AdditionalPropertiesAllowed_Depth_1,52
ReadOnlySchema_Depth_2,8
Path_Post,109
PathParameter,0
query_Parameter,543
MinItems_Depth_1,4
RequiredSchema_Depth_1,23003
Header,182
ResponseCode_410,23
Enum_Depth_5,0
MinLength_Depth_2,2
MaxProperties_Depth_1,2
SchemaType_array,1462
Format_int64_Depth_3,17
ResponseCode_202,19
RequiredParameter,1311
SchemaType_integer,7391
ResponseContent_application/vnd.github.v3.object,1
AnyOf_Depth_1,14
ResponseCode_400,6
Responses,664
HeaderContent,0
HeaderExample,182
ResponseContent_text/plain,1
ReadOnlySchema_Depth_1,39
AdditionalProperties_Depth_2,44
MediaTypeExample,126
OneOf_Depth_1,60
Format_email_Depth_2,6
ParameterExample,2
MediaTypeExtension,0
ResponseCode_200,412
HeaderExtension,0
Format_date_Depth_1,4
GlobalWebhook,0
Minimum_Depth_2,1
DeprecatedSchema_Depth_1,13
DeprecatedSchema_Depth_2,2
AllOf_Depth_2,475
SchemaExtension_Depth_3,0
ResponseCode_404,227
Enum_Depth_4,0
Tag,31
Path_Get,327
RefSchema_Depth_3,43
MediaTypeEncoding,0
HeaderStyle_,364
DeprecatedOperation,48
RequestBodyContent_*/*,1
Operation,664
SchemaType_object,5165
ResponseCode_307,2
RequestBodyContent,196
ResponseCode_422,151
ResponseCode_401,72
OneOf_Depth_3,3
Maximum_Depth_1,8
RequestBodyComponent,0
SchemaType_boolean,6935
NullableSchema_Depth_1,3777
Pattern_Depth_1,8
ResponseCode_500,5
ResponseContent_application/scim+json,6
Pattern_Depth_2,1
Format_timestamp_Depth_1,1
RequestBodyContent_application/json,193
NullableSchema_Depth_3,97
AllOf_Depth_3,2
Format_uri_Depth_1,7045
MaxProperties_Depth_2,1
ResponseExtension,0
RefSchema_Depth_2,1003
Format_uri_Depth_3,204
RefSchema_Depth_1,2168
Format_date-time_Depth_1,1004
ParameterComponent,74
SchemaExtension_Depth_1,0
SchemaExample_Depth_1,18779
ResponseContent_text/html,2
SchemaExample_Depth_2,14786
Items_Depth_4,7
SchemaComponent,230
OneOf_Depth_2,135
Format_int64_Depth_2,24
Properties_Depth_5,0
SchemaExtension_Depth_5,0
Server,2
ParameterExtension,57
Enum_Depth_3,19
Properties_Depth_3,993
ResponseContent_application/vnd.github.v3.star+json,1
Component,613
PathServer,0
NullableSchema_Depth_2,3093
ExampleComponent,286
ComponentExtension,0
GlobalExtension,0
ResponsesExtension,0
Callback,0
ResponseCode_409,13
SchemaType_number,53
Format_uri-template_Depth_1,33
Format_date-time_Depth_3,4
GlobalExternalDoc,1
Path,417
Enum_Depth_1,2736
AllOf_Depth_1,615
SchemaExample_Depth_3,533
HeaderComponent,3
OperationTag,664
RequestBodyExtension,0
RequiredSchema_Depth_2,16717
Format_int64_Depth_1,4
RequestBodyContent_text/x-markdown,1
ResponseCode_405,1
ResponseLink,0
AdditionalPropertiesAllowed_Depth_2,38
ResponseCode_415,41
MinItems_Depth_2,4
