OpenAPI feature,Count
SchemaComponent,2
GlobalWebhook,0
RefSchema_Depth_1,2
SchemaType_boolean,7
Link,0
PathExtension,0
ComponentExtension,0
GlobalExternalDoc,1
Encoding,0
path_Parameter,1
Enum_Depth_2,16
ParameterComponent,11
HeaderComponent,0
TagExtension,0
ServerVariable,0
OperationParameter,1
Format_google-datetime_Depth_1,4
ResponseExtension,0
query_Parameter,33
Server,1
ParameterExtension,0
Callback,0
PathServer,0
Operation,2
ResponseLink,0
Schema_Depth_2,16
SecuritySchemeComponent,0
SchemaType_object,6
SchemaType_string,55
Response,2
MediaTypeExtension,0
SchemaExtension_Depth_2,0
CallbackComponent,0
OperationTag,2
Header,0
MediaTypeEncoding,0
LinkComponent,0
Properties_Depth_1,16
SchemaExtension_Depth_1,0
Responses,2
ResponsesExtension,0
PathParameter,22
Items_Depth_1,2
RefSchema_Depth_2,2
OperationExtension,0
ResponseHeader,0
Tag,2
Path,2
ServerExtension,0
Example,0
Properties_Depth_2,14
ExternalDocExtension,0
Enum_Depth_1,31
SchemaType_array,2
Format_google-datetime_Depth_2,4
Component,13
ResponseContent_application/json,2
GlobalExtension,0
ExampleComponent,0
RequiredParameter,1
Schema_Depth_1,54
ResponseCode_200,2
ResponseContent,2
ResponseComponent,0
RequestBodyComponent,0
Path_Get,2
