OpenAPI feature,Count
ExampleComponent,0
ServerVariable,0
Tag,3
SchemaType_boolean,102
RefSchema_Depth_3,109
Enum_Depth_5,0
Path_Patch,1
RequestBodyExtension,0
Enum_Depth_2,112
SchemaExtension_Depth_2,0
SecuritySchemeComponent,2
OAuthFlowAuthorizationUrl,2
AdditionalProperties_Depth_3,1
OAuthFlowScopes,2
RequestBodyContent,13
Format_int32_Depth_2,1
SecurityScheme_Type_oauth2,2
ComponentExtension,0
GlobalWebhook,0
LinkComponent,0
Enum_Depth_1,129
Response,20
ResponseHeader,0
Header,0
AdditionalProperties_Depth_1,22
ResponseComponent,0
RefSchema_Depth_4,51
SecuritySchemeExtension,0
Path,13
Operation,20
SchemaType_string,871
ResponseContent,20
Enum_Depth_3,161
Items_Depth_3,146
Format_google-fieldmask_Depth_1,2
OAuthFlowExtension,0
TagExtension,0
Example,0
Responses,20
Format_int32_Depth_1,20
Enum_Depth_4,75
Properties_Depth_4,107
RefSchema_Depth_5,24
path_Parameter,18
ParameterExtension,0
RefSchema_Depth_1,70
ResponseLink,0
SchemaType_array,446
Items_Depth_2,160
ParameterComponent,11
HeaderComponent,0
OperationTag,20
RequestBody,13
Link,0
PathServer,0
SchemaType_integer,27
AdditionalProperties_Depth_2,14
ExternalDocExtension,0
ResponseContent_application/json,20
PathParameter,143
PathExtension,0
RefSchema_Depth_2,119
Properties_Depth_5,48
CallbackComponent,0
MediaTypeEncoding,0
ResponseExtension,0
query_Parameter,170
Path_Get,6
SchemaExtension_Depth_4,0
Path_Delete,1
Server,1
ServerExtension,0
Callback,0
Component,62
Format_byte_Depth_1,5
SchemaComponent,49
OperationParameter,34
Encoding,0
Properties_Depth_1,344
RequestBodyContent_application/json,13
SchemaType_object,459
Items_Depth_1,116
RequestBodyComponent,0
SchemaExtension_Depth_5,0
OauthFlowTokenUrl,1
GlobalExternalDoc,1
OperationExtension,0
RequiredParameter,18
MediaTypeExtension,0
Properties_Depth_3,285
Items_Depth_4,24
OAuthFlowsExtension,0
Properties_Depth_2,405
OAuthFlow,2
GlobalExtension,0
Path_Post,12
SchemaExtension_Depth_1,0
ResponsesExtension,0
ResponseCode_200,20
SchemaExtension_Depth_3,0
