OpenAPI feature,Count
SecurityScheme_Type_oauth2,2
OauthFlowTokenUrl,1
OAuthFlowExtension,0
TagExtension,0
PathExtension,0
ComponentExtension,0
GlobalExternalDoc,1
Items_Depth_1,40
Path_Patch,2
Component,23
Tag,6
Enum_Depth_1,36
ResponseExtension,0
query_Parameter,165
ServerExtension,0
Encoding,0
Properties_Depth_2,104
OperationExtension,0
ResponseComponent,0
SchemaComponent,14
ParameterComponent,7
Properties_Depth_1,437
ResponseLink,0
PathServer,0
RequestBodyExtension,0
RequestBodyContent_application/json,7
OAuthFlow,2
CallbackComponent,0
path_Parameter,35
Callback,0
ParameterStyle_form,11
ExplodeParameter,11
RefSchema_Depth_2,13
ExampleComponent,0
HeaderComponent,0
Server,1
SchemaType_object,129
Link,0
Format_int64_Depth_1,3
GlobalWebhook,0
RefSchema_Depth_1,42
Properties_Depth_3,0
RequestBody,7
OAuthFlowAuthorizationUrl,2
SchemaType_string,619
ResponseHeader,0
Header,0
SchemaType_boolean,31
GlobalExtension,0
ServerVariable,0
Path_Get,16
OperationParameter,74
ExternalDocExtension,0
SchemaExtension_Depth_3,0
Path_Delete,3
RequestBodyContent,7
SecuritySchemeExtension,0
Minimum_Depth_1,9
ResponseCode_200,26
MediaTypeEncoding,0
Path_Post,3
LinkComponent,0
RequiredParameter,45
Example,0
Responses,26
ResponsesExtension,0
OperationTag,26
ParameterExtension,0
SchemaExtension_Depth_2,0
SchemaType_integer,9
OAuthFlowScopes,2
ResponseContent_application/json,26
SchemaType_array,43
Maximum_Depth_1,9
Items_Depth_2,3
Path_Put,2
RequestBodyComponent,0
Path,17
Operation,26
MediaTypeExtension,0
Enum_Depth_2,5
Enum_Depth_3,0
SecuritySchemeComponent,2
OAuthFlowsExtension,0
SchemaExtension_Depth_1,0
Response,26
ResponseContent,26
PathParameter,119
