OpenAPI feature,Count
RequiredParameter,15
SchemaExtension_Depth_1,0
Example,0
ParameterExtension,0
ResponseContent,15
AdditionalProperties_Depth_2,21
Format_google-datetime_Depth_2,12
Items_Depth_2,21
Format_byte_Depth_3,8
ComponentExtension,0
Tag,1
OperationExtension,0
path_Parameter,15
Path_Post,6
Properties_Depth_1,213
MediaTypeEncoding,0
Enum_Depth_4,0
SchemaType_boolean,20
ResponseExtension,0
Format_google-fieldmask_Depth_1,2
OAuthFlowScopes,2
TagExtension,0
ResponseHeader,0
SchemaType_object,173
RequestBody,7
RequestBodyContent,7
ResponseComponent,0
Server,1
OperationTag,15
Enum_Depth_1,106
AdditionalProperties_Depth_1,21
PathServer,0
PathParameter,110
ReadOnlySchema_Depth_2,28
Items_Depth_3,7
Component,41
RefSchema_Depth_1,38
SchemaType_integer,20
SchemaType_array,76
Properties_Depth_2,153
Format_google-datetime_Depth_1,16
ParameterComponent,11
ServerVariable,0
SchemaExtension_Depth_2,0
SchemaExtension_Depth_4,0
SecuritySchemeComponent,2
CallbackComponent,0
GlobalWebhook,0
Encoding,0
RequestBodyContent_application/json,7
RefSchema_Depth_4,2
SchemaComponent,28
SecuritySchemeExtension,0
ExternalDocExtension,0
SchemaType_string,415
Response,15
Enum_Depth_3,20
RequestBodyExtension,0
Format_int32_Depth_2,2
GlobalExternalDoc,1
Header,0
SchemaExtension_Depth_3,0
ReadOnlySchema_Depth_1,41
PathExtension,0
RefSchema_Depth_3,17
ExampleComponent,0
SecurityScheme_Type_oauth2,2
Items_Depth_1,48
MediaTypeExtension,0
ResponseLink,0
AdditionalProperties_Depth_3,2
HeaderComponent,0
OAuthFlowAuthorizationUrl,2
Properties_Depth_3,32
Format_byte_Depth_2,7
GlobalExtension,0
Operation,15
query_Parameter,145
ResponseCode_200,15
Format_int32_Depth_1,12
Enum_Depth_2,42
RefSchema_Depth_2,44
RequestBodyComponent,0
OauthFlowTokenUrl,1
OAuthFlowExtension,0
Responses,15
Path_Delete,1
Format_byte_Depth_1,8
Format_byte_Depth_4,2
OAuthFlow,2
ServerExtension,0
Path,10
Path_Get,7
OperationParameter,39
ResponsesExtension,0
ResponseContent_application/json,15
Link,0
Callback,0
Path_Patch,1
Properties_Depth_4,4
OAuthFlowsExtension,0
LinkComponent,0
