OpenAPI feature,Count
ServerVariable,0
Operation,45
SchemaType_string,1541
ResponseCode_200,45
Format_double_Depth_1,36
Format_uint32_Depth_2,14
OAuthFlowScopes,6
ParameterExtension,0
ResponseHeader,0
RefSchema_Depth_2,130
SecuritySchemeComponent,2
OperationExtension,0
Response,45
Path_Delete,6
CallbackComponent,0
Enum_Depth_1,597
SchemaType_boolean,138
Tag,2
Path_Get,23
Enum_Depth_3,68
Enum_Depth_2,254
SchemaType_number,79
SchemaExtension_Depth_4,0
ResponsesExtension,0
AdditionalProperties_Depth_3,5
ServerExtension,0
OperationParameter,126
PathServer,0
ResponseComponent,0
OauthFlowTokenUrl,1
GlobalExternalDoc,1
GlobalWebhook,0
Header,0
PathParameter,319
OperationTag,45
ReadOnlySchema_Depth_2,34
Enum_Depth_4,0
Callback,0
Format_google-duration_Depth_1,84
Format_google-duration_Depth_3,2
ResponseContent,45
SchemaExtension_Depth_3,0
Format_int32_Depth_1,150
Format_double_Depth_3,8
Format_int64_Depth_1,12
ComponentExtension,0
GlobalExtension,0
Format_google-duration_Depth_2,34
Format_int64_Depth_2,4
OAuthFlowExtension,0
ExternalDocExtension,0
SchemaType_integer,267
Responses,45
PathExtension,0
SecurityScheme_Type_oauth2,2
Items_Depth_2,25
MediaTypeExtension,0
Format_uint32_Depth_1,35
Component,90
ExampleComponent,0
Properties_Depth_4,0
Format_google-datetime_Depth_1,25
SchemaExtension_Depth_2,0
Properties_Depth_2,586
ReadOnlySchema_Depth_1,73
OAuthFlowAuthorizationUrl,2
RequiredParameter,86
RequestBody,16
SchemaComponent,77
SchemaType_object,569
RequestBodyContent_application/json,16
Path_Patch,6
Format_float_Depth_1,2
LinkComponent,0
Server,1
Path,29
SchemaExtension_Depth_1,0
query_Parameter,370
Items_Depth_1,103
Properties_Depth_3,72
SecuritySchemeExtension,0
Path_Post,10
ResponseContent_application/json,45
RefSchema_Depth_1,222
SchemaType_array,128
Format_int32_Depth_2,57
ResponseLink,0
RequestBodyExtension,0
Format_google-datetime_Depth_2,8
OAuthFlowsExtension,0
MediaTypeEncoding,0
ResponseExtension,0
Link,0
AdditionalProperties_Depth_1,68
Encoding,0
RequestBodyContent,16
RefSchema_Depth_3,20
TagExtension,0
RequestBodyComponent,0
Properties_Depth_1,1292
Example,0
AdditionalProperties_Depth_2,47
Format_float_Depth_2,2
Format_double_Depth_2,31
path_Parameter,86
ParameterComponent,11
HeaderComponent,0
OAuthFlow,2
