OpenAPI feature,Count
Server,1
Example,0
ResponseExtension,0
Format_int64_Depth_3,26
Format_double_Depth_3,8
LinkComponent,0
GlobalExternalDoc,1
GlobalExtension,0
OperationParameter,54
ResponsesExtension,0
ExampleComponent,0
SecurityScheme_Type_oauth2,2
Path_Delete,1
Path_Patch,1
Format_double_Depth_4,2
Component,68
Format_double_Depth_1,5
HeaderComponent,0
SchemaType_object,392
SchemaType_array,199
AdditionalProperties_Depth_2,31
OauthFlowTokenUrl,1
Operation,28
SchemaType_boolean,204
AdditionalProperties_Depth_1,34
OperationExtension,0
Callback,0
query_Parameter,279
AdditionalProperties_Depth_3,4
SecuritySchemeComponent,2
ResponseHeader,0
ParameterComponent,11
Format_int32_Depth_1,26
OAuthFlowExtension,0
ResponseContent_application/json,28
Items_Depth_3,21
ExternalDocExtension,0
Enum_Depth_1,342
Enum_Depth_2,443
Format_int64_Depth_1,29
ResponseComponent,0
Format_int64_Depth_2,51
OperationTag,28
Header,0
PathExtension,0
Enum_Depth_4,33
Encoding,0
ResponseLink,0
ComponentExtension,0
ParameterExtension,0
MediaTypeEncoding,0
Format_google-datetime_Depth_2,6
Format_int64_Depth_4,2
RefSchema_Depth_1,71
Tag,1
TagExtension,0
RequestBodyContent_application/json,15
Items_Depth_2,80
Format_int32_Depth_3,27
ServerVariable,0
SchemaType_integer,86
Properties_Depth_2,761
Format_int32_Depth_2,24
SchemaType_number,24
Path_Post,14
Responses,28
Response,28
ResponseCode_200,28
RefSchema_Depth_2,104
ResponseContent,28
Format_double_Depth_2,9
CallbackComponent,0
GlobalWebhook,0
SchemaComponent,55
RequestBodyExtension,0
Link,0
PathServer,0
SchemaExtension_Depth_4,0
OAuthFlowScopes,2
SecuritySchemeExtension,0
Path,22
RequestBody,15
PathParameter,242
Properties_Depth_4,79
path_Parameter,28
ServerExtension,0
SchemaType_string,1491
SchemaExtension_Depth_1,0
SchemaExtension_Depth_2,0
RequestBodyComponent,0
OAuthFlowsExtension,0
Items_Depth_1,98
SchemaExtension_Depth_3,0
RefSchema_Depth_4,19
ReadOnlySchema_Depth_1,92
OAuthFlow,2
OAuthFlowAuthorizationUrl,2
Properties_Depth_1,581
RequestBodyContent,15
ReadOnlySchema_Depth_2,98
MediaTypeExtension,0
Enum_Depth_3,125
RefSchema_Depth_3,74
Format_google-datetime_Depth_1,15
RequiredParameter,28
Path_Get,12
Properties_Depth_3,342
ReadOnlySchema_Depth_3,20
