OpenAPI feature,Count
RequestBodyContent_application/json,7
Operation,14
path_Parameter,14
Items_Depth_2,2
Enum_Depth_4,0
Properties_Depth_4,0
OAuthFlow,2
OperationParameter,32
RefSchema_Depth_2,13
OAuthFlowScopes,4
LinkComponent,0
Callback,0
SchemaComponent,16
Component,29
HeaderComponent,0
SchemaType_integer,16
AdditionalProperties_Depth_2,9
ExampleComponent,0
SchemaType_object,73
SchemaType_array,24
MediaTypeExtension,0
Enum_Depth_3,0
PathServer,0
query_Parameter,128
Format_google-datetime_Depth_2,8
OauthFlowTokenUrl,1
ServerVariable,0
RefSchema_Depth_1,33
Items_Depth_1,22
SchemaType_boolean,34
SchemaExtension_Depth_4,0
Server,1
SchemaType_string,309
ResponseCode_200,14
ResponseHeader,0
OAuthFlowExtension,0
CallbackComponent,0
ComponentExtension,0
GlobalWebhook,0
Tag,1
Responses,14
Properties_Depth_3,0
OperationTag,14
RequiredParameter,14
Header,0
ReadOnlySchema_Depth_2,24
Format_int64_Depth_2,6
AdditionalProperties_Depth_3,2
Path_Patch,1
Path_Post,6
RequestBodyExtension,0
Format_int64_Depth_1,19
ResponseExtension,0
ResponseLink,0
PathExtension,0
Path_Get,6
SecuritySchemeComponent,2
Response,14
ResponseContent_application/json,14
OAuthFlowsExtension,0
OperationExtension,0
Encoding,0
Enum_Depth_1,210
SchemaExtension_Depth_2,0
SchemaExtension_Depth_3,0
Link,0
GlobalExtension,0
ServerExtension,0
Path_Delete,1
GlobalExternalDoc,1
ResponseContent,14
ResponseComponent,0
OAuthFlowAuthorizationUrl,2
ExternalDocExtension,0
Path,9
Properties_Depth_1,188
RequestBody,7
Properties_Depth_2,65
ResponsesExtension,0
TagExtension,0
Example,0
ReadOnlySchema_Depth_1,53
Format_google-datetime_Depth_1,25
PathParameter,99
Format_int32_Depth_2,2
RequestBodyComponent,0
SecuritySchemeExtension,0
ParameterExtension,0
RequestBodyContent,7
MediaTypeEncoding,0
Format_int32_Depth_1,9
ParameterComponent,11
SecurityScheme_Type_oauth2,2
SchemaExtension_Depth_1,0
Enum_Depth_2,76
