OpenAPI feature,Count
MediaTypeExtension,0
Format_int64_Depth_2,6
SchemaComponent,15
OperationParameter,29
RequiredParameter,13
Example,0
SchemaExtension_Depth_2,0
AdditionalProperties_Depth_2,9
RefSchema_Depth_2,11
SecuritySchemeComponent,2
SecurityScheme_Type_oauth2,2
SchemaType_string,287
Encoding,0
RequestBodyContent_application/json,7
CallbackComponent,0
ExternalDocExtension,0
RequestBodyExtension,0
SchemaType_array,22
Items_Depth_1,20
ResponseLink,0
OAuthFlowScopes,4
TagExtension,0
OperationTag,13
path_Parameter,13
GlobalExternalDoc,1
OAuthFlowsExtension,0
Properties_Depth_2,57
PathParameter,88
Properties_Depth_4,0
GlobalWebhook,0
Enum_Depth_1,199
ReadOnlySchema_Depth_1,53
ReadOnlySchema_Depth_2,20
SchemaExtension_Depth_3,0
ResponseExtension,0
query_Parameter,115
Format_google-datetime_Depth_2,8
ParameterComponent,11
Path_Post,6
RequestBodyContent,7
Header,0
ResponseHeader,0
Link,0
Path_Patch,1
Component,28
RequestBodyComponent,0
GlobalExtension,0
Server,1
RequestBody,7
SchemaExtension_Depth_4,0
HeaderComponent,0
OauthFlowTokenUrl,1
SchemaExtension_Depth_1,0
MediaTypeEncoding,0
ResponsesExtension,0
Tag,1
Responses,13
OAuthFlow,2
Format_int64_Depth_1,19
ServerVariable,0
Operation,13
OperationExtension,0
Format_int32_Depth_1,9
OAuthFlowExtension,0
ResponseCode_200,13
ResponseContent,13
ResponseContent_application/json,13
Enum_Depth_3,0
SchemaType_boolean,33
Path_Delete,1
ServerExtension,0
SchemaType_object,69
Response,13
Properties_Depth_3,0
Path,8
RefSchema_Depth_1,32
Enum_Depth_2,56
Format_int32_Depth_2,2
Items_Depth_2,2
AdditionalProperties_Depth_3,2
Enum_Depth_4,0
ExampleComponent,0
Format_google-datetime_Depth_1,25
SchemaType_integer,15
Path_Get,5
OAuthFlowAuthorizationUrl,2
SecuritySchemeExtension,0
LinkComponent,0
PathServer,0
PathExtension,0
ResponseComponent,0
ComponentExtension,0
Properties_Depth_1,184
ParameterExtension,0
Callback,0
