OpenAPI feature,Count
Component,70
ExampleComponent,0
Properties_Depth_4,56
Format_google-datetime_Depth_4,2
ReadOnlySchema_Depth_3,200
SchemaType_array,130
Format_int32_Depth_2,39
LinkComponent,0
GlobalExtension,0
Encoding,0
Format_google-duration_Depth_2,18
RequiredParameter,10
Format_int64_Depth_1,57
Tag,1
Path,10
SchemaComponent,57
SecuritySchemeComponent,2
Server,1
SchemaExtension_Depth_1,0
Response,10
SchemaType_number,1
Enum_Depth_3,86
Items_Depth_1,71
RefSchema_Depth_3,44
ResponseCode_200,10
GlobalExternalDoc,1
Format_int64_Depth_4,14
ResponseComponent,0
RefSchema_Depth_2,94
SchemaType_boolean,71
Enum_Depth_5,0
SchemaType_string,849
Format_google-datetime_Depth_2,33
SecurityScheme_Type_oauth2,2
OauthFlowTokenUrl,1
CallbackComponent,0
RequestBodyComponent,0
PathParameter,110
ReadOnlySchema_Depth_1,242
Enum_Depth_1,219
SchemaType_integer,143
Format_google-datetime_Depth_1,19
OAuthFlowScopes,6
ExternalDocExtension,0
Properties_Depth_3,230
ResponseExtension,0
ReadOnlySchema_Depth_4,56
Items_Depth_4,2
path_Parameter,10
Properties_Depth_5,0
ResponseContent_application/json,10
ResponseContent,10
Properties_Depth_1,380
Responses,10
Callback,0
Operation,10
Format_int32_Depth_4,14
ServerExtension,0
RefSchema_Depth_4,8
Format_int64_Depth_2,59
Items_Depth_2,45
Format_google-datetime_Depth_3,30
Format_google-duration_Depth_3,20
ParameterExtension,0
SchemaExtension_Depth_2,0
SchemaExtension_Depth_4,0
SchemaExtension_Depth_5,0
MediaTypeEncoding,0
AdditionalProperties_Depth_2,2
OAuthFlowAuthorizationUrl,2
OAuthFlowExtension,0
OperationParameter,46
Items_Depth_3,12
SecuritySchemeExtension,0
GlobalWebhook,0
OperationExtension,0
ReadOnlySchema_Depth_2,300
PathExtension,0
OAuthFlow,2
SchemaType_object,241
SchemaExtension_Depth_3,0
ServerVariable,0
query_Parameter,157
ResponsesExtension,0
ResponseHeader,0
Format_google-duration_Depth_4,8
MediaTypeExtension,0
TagExtension,0
ParameterComponent,11
ResponseLink,0
PathServer,0
Format_int64_Depth_3,30
Format_float_Depth_1,1
ComponentExtension,0
Format_int32_Depth_1,38
Format_google-duration_Depth_1,13
Header,0
RefSchema_Depth_1,36
Enum_Depth_2,220
Properties_Depth_2,405
Link,0
OperationTag,10
Example,0
OAuthFlowsExtension,0
Format_int32_Depth_3,46
Enum_Depth_4,0
HeaderComponent,0
Path_Get,10
