OpenAPI feature,Count
ParameterStyle_form,1
ServerVariable,0
SchemaExtension_Depth_3,0
SchemaType_boolean,89
ParameterComponent,11
SecurityScheme_Type_oauth2,2
OAuthFlowExtension,0
SchemaExtension_Depth_1,0
Enum_Depth_3,129
PathParameter,33
SchemaType_integer,16
AdditionalProperties_Depth_1,11
ResponseLink,0
ExampleComponent,0
GlobalWebhook,0
Schema_Depth_2,548
Format_google-datetime_Depth_1,9
Properties_Depth_4,70
SchemaExtension_Depth_4,0
OauthFlowTokenUrl,1
RequiredParameter,3
ResponsesExtension,0
SecuritySchemeComponent,2
OAuthFlowsExtension,0
AdditionalProperties_Depth_2,6
Format_google-datetime_Depth_2,7
RequestBodyContent,1
ResponseContent,3
Format_byte_Depth_2,5
Encoding,0
Properties_Depth_1,412
OAuthFlowScopes,2
ResponseExtension,0
Link,0
ServerExtension,0
Format_int32_Depth_2,5
Responses,3
ResponseCode_200,3
Schema_Depth_3,377
query_Parameter,48
Example,0
TagExtension,0
OAuthFlowAuthorizationUrl,2
ResponseContent_application/json,3
ExplodeParameter,1
RefSchema_Depth_5,8
OperationTag,3
ParameterExtension,0
PathServer,0
Format_int32_Depth_3,2
Server,1
Enum_Depth_2,123
Items_Depth_2,162
SchemaExtension_Depth_2,0
Response,3
Items_Depth_1,122
OperationExtension,0
SchemaType_array,370
Properties_Depth_5,16
Format_byte_Depth_1,5
GlobalExtension,0
Schema_Depth_4,146
RequestBody,1
Format_byte_Depth_3,2
Format_google-datetime_Depth_3,2
ReadOnlySchema_Depth_1,1
Path_Post,1
Schema_Depth_1,512
GlobalExternalDoc,1
Properties_Depth_3,209
Enum_Depth_5,0
Enum_Depth_4,38
OAuthFlow,2
SchemaType_object,387
RefSchema_Depth_3,82
PathExtension,0
Items_Depth_4,10
ResponseComponent,0
Header,0
Format_int32_Depth_1,9
CallbackComponent,0
Enum_Depth_1,80
RefSchema_Depth_2,130
Items_Depth_3,76
Properties_Depth_2,415
Path_Get,2
MediaTypeEncoding,0
HeaderComponent,0
path_Parameter,3
RequestBodyExtension,0
Component,58
RequestBodyComponent,0
ExternalDocExtension,0
OperationParameter,7
Schema_Depth_5,26
ResponseHeader,0
RequestBodyContent_application/json,1
SchemaExtension_Depth_5,0
ComponentExtension,0
SchemaType_string,730
MediaTypeExtension,0
RefSchema_Depth_4,34
SchemaComponent,45
SecuritySchemeExtension,0
LinkComponent,0
Tag,3
Operation,3
Callback,0
Path,3
RefSchema_Depth_1,71
