OpenAPI feature,Count
Enum_Depth_2,77
ResponseCode_200,2
SchemaExtension_Depth_3,0
query_Parameter,33
SchemaExtension_Depth_4,0
ExternalDocExtension,0
Path_Post,1
PathExtension,0
OAuthFlowAuthorizationUrl,2
ResponseContent_application/json,2
OAuthFlowExtension,0
ParameterExtension,0
Format_google-datetime_Depth_1,5
AdditionalProperties_Depth_1,8
Path_Get,1
ExampleComponent,0
OauthFlowTokenUrl,1
TagExtension,0
SchemaType_object,197
SchemaType_array,173
AdditionalProperties_Depth_2,4
Enum_Depth_3,53
Enum_Depth_4,0
RequiredParameter,2
ServerExtension,0
Tag,2
OperationTag,2
Encoding,0
RequestBodyExtension,0
Format_int32_Depth_1,7
ResponseLink,0
ServerVariable,0
SchemaComponent,42
RefSchema_Depth_4,10
Format_byte_Depth_2,1
ComponentExtension,0
PathServer,0
SchemaType_integer,8
Items_Depth_3,12
SecurityScheme_Type_oauth2,2
LinkComponent,0
CallbackComponent,0
SchemaType_boolean,53
path_Parameter,2
SchemaExtension_Depth_2,0
Responses,2
ResponseContent,2
Format_google-datetime_Depth_2,1
Server,1
RefSchema_Depth_1,51
MediaTypeEncoding,0
OperationParameter,2
Response,2
Properties_Depth_3,51
Callback,0
Items_Depth_2,74
RefSchema_Depth_3,24
Format_byte_Depth_1,3
Format_int32_Depth_2,1
Items_Depth_1,87
SecuritySchemeExtension,0
Properties_Depth_2,165
PathParameter,22
Properties_Depth_4,20
SchemaType_string,369
Operation,2
OperationExtension,0
Enum_Depth_1,85
Schema_Depth_4,32
ParameterComponent,11
RequestBodyComponent,0
HeaderComponent,0
GlobalExtension,0
OAuthFlowsExtension,0
RequestBodyContent_application/json,1
MediaTypeExtension,0
ResponsesExtension,0
Header,0
ReadOnlySchema_Depth_1,1
SchemaExtension_Depth_1,0
Example,0
RequestBody,1
Schema_Depth_2,260
Schema_Depth_3,129
GlobalExternalDoc,1
Schema_Depth_1,391
Link,0
RefSchema_Depth_2,58
OAuthFlow,2
Path,2
RequestBodyContent,1
ResponseHeader,0
ResponseExtension,0
Component,55
ResponseComponent,0
SecuritySchemeComponent,2
OAuthFlowScopes,2
Properties_Depth_1,311
GlobalWebhook,0
