OpenAPI feature,Count
RequestBodyContent_application/json,5
Format_double_Depth_1,6
PathServer,0
RequestBodyContent,5
Format_int64_Depth_2,2
LinkComponent,0
Path,9
RefSchema_Depth_1,25
Component,36
SchemaType_integer,22
ResponseHeader,0
Format_int64_Depth_4,2
Header,0
RefSchema_Depth_2,35
Format_double_Depth_3,7
RequestBodyComponent,0
Response,12
ExampleComponent,0
ParameterExtension,0
ServerVariable,0
SchemaType_string,342
Enum_Depth_2,18
GlobalExtension,0
Example,0
Format_google-fieldmask_Depth_1,2
OAuthFlow,2
Server,1
SecurityScheme_Type_oauth2,2
GlobalWebhook,0
PathParameter,99
SchemaType_object,100
SchemaExtension_Depth_2,0
Path_Post,3
RequestBodyExtension,0
Path_Get,7
Format_byte_Depth_1,5
RefSchema_Depth_4,4
TagExtension,0
Encoding,0
SchemaExtension_Depth_1,0
RequiredParameter,9
OperationExtension,0
ReadOnlySchema_Depth_1,12
RefSchema_Depth_3,13
OperationTag,12
Enum_Depth_1,74
ResponseContent_application/json,12
Format_int32_Depth_2,3
OAuthFlowExtension,0
Responses,12
GlobalExternalDoc,1
MediaTypeExtension,0
SchemaType_array,56
Items_Depth_1,31
ReadOnlySchema_Depth_2,4
Enum_Depth_4,0
Properties_Depth_4,10
ExternalDocExtension,0
query_Parameter,124
Properties_Depth_2,124
ResponseLink,0
Format_google-datetime_Depth_3,2
Enum_Depth_3,32
HeaderComponent,0
ComponentExtension,0
RequestBody,5
Path_Patch,1
ResponsesExtension,0
MediaTypeEncoding,0
Path_Put,1
Format_int32_Depth_3,3
Format_int32_Depth_4,2
ResponseContent,12
SchemaExtension_Depth_4,0
ParameterComponent,11
OAuthFlowsExtension,0
Items_Depth_2,18
Items_Depth_3,7
SchemaType_number,20
SchemaType_boolean,24
Format_double_Depth_4,2
SchemaComponent,23
Format_google-datetime_Depth_1,1
Format_google-datetime_Depth_2,1
Format_int64_Depth_3,1
CallbackComponent,0
OperationParameter,23
Link,0
path_Parameter,9
SecuritySchemeComponent,2
OAuthFlowScopes,6
Tag,3
Operation,12
ResponseExtension,0
PathExtension,0
Format_double_Depth_2,5
Format_int32_Depth_1,9
Callback,0
Properties_Depth_1,156
Properties_Depth_3,45
ResponseComponent,0
OAuthFlowAuthorizationUrl,2
SchemaExtension_Depth_3,0
Format_int64_Depth_1,2
OauthFlowTokenUrl,1
SecuritySchemeExtension,0
ResponseCode_200,12
ServerExtension,0
