OpenAPI feature,Count
RefSchema_Depth_2,74
PathServer,0
GlobalExternalDoc,1
SchemaComponent,75
Format_int32_Depth_1,9
Format_byte_Depth_3,15
HeaderComponent,0
Responses,6
Enum_Depth_2,56
RequestBodyContent_application/json,3
Path_Patch,1
AdditionalProperties_Depth_3,2
OAuthFlowAuthorizationUrl,2
LinkComponent,0
OperationTag,6
RequiredParameter,6
RequestBody,3
RequestBodyContent,3
OAuthFlowsExtension,0
ResponseContent_application/json,6
SchemaExtension_Depth_2,0
Callback,0
Format_google-datetime_Depth_1,92
ExampleComponent,0
OperationParameter,8
SchemaType_array,109
Properties_Depth_3,24
SchemaExtension_Depth_4,0
Format_google-duration_Depth_2,2
Encoding,0
ParameterExtension,0
ResponseHeader,0
Component,88
Example,0
Items_Depth_1,82
Enum_Depth_3,30
Properties_Depth_4,0
Path_Get,2
Operation,6
path_Parameter,6
SchemaType_string,681
SecuritySchemeExtension,0
TagExtension,0
ResponseContent,6
ParameterComponent,11
ResponseExtension,0
GlobalWebhook,0
Path,3
SchemaType_object,303
ReadOnlySchema_Depth_2,18
Format_int64_Depth_2,2
RefSchema_Depth_3,12
OAuthFlow,2
OauthFlowTokenUrl,1
CallbackComponent,0
GlobalExtension,0
SchemaExtension_Depth_1,0
ResponseCode_200,6
SchemaExtension_Depth_3,0
Format_int32_Depth_3,2
Enum_Depth_4,0
OAuthFlowExtension,0
ServerExtension,0
Enum_Depth_1,189
MediaTypeEncoding,0
ResponseLink,0
SchemaType_boolean,25
AdditionalProperties_Depth_1,22
Items_Depth_2,27
SecurityScheme_Type_oauth2,2
Tag,1
Format_google-datetime_Depth_2,38
RequestBodyExtension,0
ReadOnlySchema_Depth_1,97
OAuthFlowScopes,2
ComponentExtension,0
PathExtension,0
Path_Delete,1
ServerVariable,0
OperationExtension,0
MediaTypeExtension,0
query_Parameter,46
SchemaType_integer,18
ResponsesExtension,0
Header,0
Properties_Depth_2,205
Path_Post,2
PathParameter,33
Format_byte_Depth_2,8
Format_byte_Depth_1,1
RequestBodyComponent,0
Server,1
Properties_Depth_1,639
RefSchema_Depth_1,108
Link,0
ExternalDocExtension,0
Format_google-duration_Depth_1,5
ResponseComponent,0
SecuritySchemeComponent,2
Response,6
Format_int64_Depth_1,27
AdditionalProperties_Depth_2,10
Format_int32_Depth_2,7
