OpenAPI feature,Count
Enum_Depth_2,131
Properties_Depth_2,305
Path_Delete,1
SecurityScheme_Type_oauth2,2
Component,55
AdditionalProperties_Depth_1,27
RequestBodyContent,6
query_Parameter,135
ExternalDocExtension,0
Path,10
SchemaExtension_Depth_1,0
OAuthFlowAuthorizationUrl,2
TagExtension,0
ExampleComponent,0
Enum_Depth_4,0
ResponseComponent,0
ComponentExtension,0
GlobalExtension,0
RequestBodyExtension,0
RefSchema_Depth_1,66
Enum_Depth_3,40
Format_int32_Depth_2,10
ResponseHeader,0
Path_Patch,1
Properties_Depth_3,55
Format_int32_Depth_1,27
ParameterComponent,11
SchemaComponent,42
Tag,1
OperationTag,13
SchemaType_boolean,42
Format_byte_Depth_1,5
Server,1
HeaderComponent,0
OauthFlowTokenUrl,1
RequestBodyComponent,0
ResponseExtension,0
ResponseLink,0
Callback,0
OAuthFlowScopes,2
GlobalWebhook,0
SchemaType_array,93
Path_Get,6
Schema_Depth_2,388
RefSchema_Depth_3,20
RequestBody,6
OAuthFlowsExtension,0
Items_Depth_1,56
AdditionalProperties_Depth_2,20
Encoding,0
ParameterExtension,0
ResponsesExtension,0
Format_google-datetime_Depth_1,10
Properties_Depth_1,503
OperationExtension,0
ResponseCode_200,13
Header,0
ResponseContent_application/json,13
ServerExtension,0
Operation,13
SchemaType_object,245
SecuritySchemeComponent,2
RefSchema_Depth_2,66
Properties_Depth_4,4
OperationParameter,27
ServerVariable,0
Schema_Depth_1,712
PathServer,0
SecuritySchemeExtension,0
Format_int64_Depth_1,14
Schema_Depth_3,105
Example,0
Items_Depth_2,30
LinkComponent,0
Response,13
OAuthFlowExtension,0
CallbackComponent,0
OAuthFlow,2
Enum_Depth_1,209
MediaTypeEncoding,0
PathExtension,0
RefSchema_Depth_4,2
AdditionalProperties_Depth_3,2
path_Parameter,13
RequiredParameter,13
SchemaType_string,768
Format_google-fieldmask_Depth_1,2
SchemaExtension_Depth_2,0
GlobalExternalDoc,1
ResponseContent,13
RequestBodyContent_application/json,6
Responses,13
Link,0
Path_Post,5
ReadOnlySchema_Depth_1,29
Format_int64_Depth_2,4
PathParameter,110
SchemaType_integer,41
SchemaExtension_Depth_3,0
Schema_Depth_4,13
Format_google-datetime_Depth_2,2
SchemaExtension_Depth_4,0
MediaTypeExtension,0
ReadOnlySchema_Depth_2,16
Items_Depth_3,7
