OpenAPI feature,Count
PathParameter,132
ExplodeParameter,2
OAuthFlow,2
ServerVariable,0
Properties_Depth_2,189
MediaTypeEncoding,0
ResponseLink,0
PathServer,0
Format_uint64_Depth_2,2
Component,48
SecuritySchemeComponent,2
Operation,16
SchemaExtension_Depth_1,0
Example,0
Format_google-datetime_Depth_1,73
AdditionalProperties_Depth_2,9
GlobalExternalDoc,1
SchemaType_boolean,21
Format_uint64_Depth_1,6
Format_int32_Depth_2,2
ResponseComponent,0
OAuthFlowAuthorizationUrl,2
Properties_Depth_3,32
OAuthFlowExtension,0
SchemaComponent,35
ServerExtension,0
SchemaType_string,564
ResponseContent_application/json,16
RefSchema_Depth_1,68
Enum_Depth_3,14
SchemaExtension_Depth_2,0
RequestBody,10
Server,1
Encoding,0
SchemaType_array,52
Properties_Depth_4,0
ParameterComponent,11
Format_google-datetime_Depth_2,38
RequestBodyExtension,0
RequestBodyContent,10
Path_Get,5
RequiredParameter,16
Enum_Depth_1,200
Items_Depth_1,39
Enum_Depth_2,82
RequestBodyContent_application/json,10
Path_Delete,1
Path_Patch,1
ComponentExtension,0
Link,0
Callback,0
Items_Depth_2,13
ExampleComponent,0
LinkComponent,0
AdditionalProperties_Depth_3,2
OperationTag,16
ResponseHeader,0
ResponseContent,16
SchemaType_object,188
PathExtension,0
ParameterStyle_form,2
OAuthFlowScopes,4
OAuthFlowsExtension,0
GlobalExtension,0
OperationExtension,0
MediaTypeExtension,0
Path_Post,9
Format_google-datetime_Depth_3,6
CallbackComponent,0
AdditionalProperties_Depth_1,6
Properties_Depth_1,331
Format_byte_Depth_2,8
Format_int64_Depth_2,4
SchemaExtension_Depth_3,0
Format_int32_Depth_1,15
ResponseExtension,0
Enum_Depth_4,0
SecuritySchemeExtension,0
ResponseCode_200,16
Header,0
RequestBodyComponent,0
TagExtension,0
Path,12
OperationParameter,30
path_Parameter,16
ResponsesExtension,0
OauthFlowTokenUrl,1
GlobalWebhook,0
Format_int64_Depth_1,10
HeaderComponent,0
SecurityScheme_Type_oauth2,2
Tag,1
ParameterExtension,0
RefSchema_Depth_2,56
Format_byte_Depth_1,24
RefSchema_Depth_3,12
ExternalDocExtension,0
query_Parameter,157
SchemaType_integer,21
Responses,16
Response,16
SchemaExtension_Depth_4,0
