OpenAPI feature,Count
OAuthFlowExtension,0
ResponseHeader,0
SchemaExtension_Depth_2,0
ResponseExtension,0
PathServer,0
PathParameter,33
ResponsesExtension,0
SchemaComponent,6
SecuritySchemeComponent,2
AdditionalProperties_Depth_2,4
PathExtension,0
AdditionalProperties_Depth_1,2
Server,1
Path_Get,3
OperationTag,3
OperationParameter,12
Properties_Depth_2,32
ParameterComponent,11
Items_Depth_1,6
Callback,0
Component,19
ServerVariable,0
Operation,3
SchemaType_integer,3
ResponseCode_200,3
Header,0
RequestBodyComponent,0
OAuthFlow,2
OauthFlowTokenUrl,1
OAuthFlowsExtension,0
ServerExtension,0
RequiredParameter,3
SchemaExtension_Depth_3,0
Format_google-datetime_Depth_1,6
ResponseComponent,0
Properties_Depth_1,28
Response,3
GlobalExternalDoc,1
ResponseLink,0
OAuthFlowAuthorizationUrl,2
GlobalWebhook,0
ExampleComponent,0
HeaderComponent,0
SecuritySchemeExtension,0
Tag,3
path_Parameter,3
Enum_Depth_1,20
ParameterExtension,3
SchemaType_object,21
ResponseContent_*/*,3
RefSchema_Depth_2,6
Enum_Depth_2,0
Properties_Depth_3,0
CallbackComponent,0
SchemaType_string,97
RefSchema_Depth_1,3
Link,0
ExternalDocExtension,0
TagExtension,0
Encoding,0
SchemaExtension_Depth_1,0
Format_google-datetime_Depth_2,12
SchemaType_boolean,4
ComponentExtension,0
Path,3
Responses,3
ResponseContent,3
Enum_Depth_3,0
SecurityScheme_Type_oauth2,2
OperationExtension,0
MediaTypeEncoding,0
OAuthFlowScopes,2
LinkComponent,0
Example,0
SchemaType_array,6
GlobalExtension,0
query_Parameter,53
MediaTypeExtension,0
