OpenAPI feature,Count
Items_Depth_3,5
Server,1
ServerExtension,0
MediaTypeExtension,0
ResponseContent,12
PathParameter,99
SchemaExtension_Depth_2,0
RefSchema_Depth_3,5
ExampleComponent,0
LinkComponent,0
ParameterExtension,0
ResponseHeader,0
OAuthFlowExtension,0
SecuritySchemeExtension,0
Items_Depth_2,11
GlobalExtension,0
TagExtension,0
OperationExtension,0
SchemaType_string,278
ResponseLink,0
PathServer,0
RefSchema_Depth_2,20
SchemaComponent,43
OAuthFlowScopes,4
Encoding,0
SchemaExtension_Depth_1,0
query_Parameter,116
Path_Get,3
SchemaType_integer,16
Items_Depth_1,26
AdditionalProperties_Depth_2,5
RequestBody,8
RefSchema_Depth_1,29
ResponseContent_application/json,12
ResponseComponent,0
OAuthFlowsExtension,0
ServerVariable,0
Path,9
Operation,12
SchemaType_boolean,19
GlobalExternalDoc,1
MediaTypeEncoding,0
Header,0
ReadOnlySchema_Depth_1,21
Callback,0
Format_google-datetime_Depth_2,4
Path_Delete,1
RequestBodyContent_application/json,8
Link,0
PathExtension,0
Enum_Depth_4,0
Properties_Depth_4,0
SecuritySchemeComponent,2
SecurityScheme_Type_oauth2,2
path_Parameter,9
RequiredParameter,9
ResponsesExtension,0
SchemaType_array,42
AdditionalProperties_Depth_1,8
SchemaExtension_Depth_4,0
Tag,2
Response,12
Format_google-datetime_Depth_1,9
SchemaExtension_Depth_3,0
RequestBodyContent,8
SchemaType_object,110
Properties_Depth_3,10
HeaderComponent,0
CallbackComponent,0
Example,0
Responses,12
ResponseCode_200,12
Enum_Depth_2,16
Component,56
RequestBodyComponent,0
Format_int32_Depth_1,15
ReadOnlySchema_Depth_2,12
ParameterComponent,11
Enum_Depth_3,20
Format_byte_Depth_1,5
OAuthFlow,2
ComponentExtension,0
ExternalDocExtension,0
Path_Post,7
OperationTag,12
Properties_Depth_2,67
Path_Patch,1
OAuthFlowAuthorizationUrl,2
OauthFlowTokenUrl,1
OperationParameter,15
Enum_Depth_1,94
Properties_Depth_1,158
RequestBodyExtension,0
ResponseExtension,0
Format_google-fieldmask_Depth_1,2
GlobalWebhook,0
