OpenAPI feature,Count
ResponseCode_200,7
Enum_Depth_3,0
ParameterComponent,11
RequestBodyComponent,0
GlobalWebhook,0
Example,0
ParameterExtension,0
Items_Depth_1,12
SchemaExtension_Depth_2,0
query_Parameter,80
Path_Post,5
SchemaType_object,59
RefSchema_Depth_1,18
ResponseComponent,0
ExampleComponent,0
OAuthFlowsExtension,0
OAuthFlow,2
OperationParameter,10
SchemaExtension_Depth_1,0
Schema_Depth_2,30
Properties_Depth_3,0
ReadOnlySchema_Depth_1,21
AdditionalProperties_Depth_3,1
SecurityScheme_Type_oauth2,2
path_Parameter,7
Response,7
Schema_Depth_3,9
ResponseLink,0
Format_int32_Depth_2,1
LinkComponent,0
SecuritySchemeExtension,0
GlobalExtension,0
ServerVariable,0
Enum_Depth_1,55
RequestBodyContent_application/json,5
Header,0
SchemaType_integer,11
Path_Delete,1
Encoding,0
PathParameter,66
ComponentExtension,0
Path,6
MediaTypeEncoding,0
ResponseContent,7
Format_int32_Depth_1,9
SchemaExtension_Depth_3,0
Properties_Depth_2,8
HeaderComponent,0
OAuthFlowExtension,0
Server,1
Schema_Depth_1,208
RequestBody,5
RequestBodyExtension,0
Path_Get,1
SchemaComponent,20
OauthFlowTokenUrl,1
CallbackComponent,0
Tag,2
ResponseContent_application/json,7
SchemaType_boolean,13
SchemaType_array,13
Link,0
Operation,7
ResponsesExtension,0
ResponseHeader,0
RefSchema_Depth_2,2
Properties_Depth_4,0
ExternalDocExtension,0
GlobalExternalDoc,1
TagExtension,0
RequiredParameter,7
SchemaType_string,133
RequestBodyContent,5
Enum_Depth_2,0
PathExtension,0
OAuthFlowScopes,2
OperationTag,7
Properties_Depth_1,89
ResponseExtension,0
Items_Depth_2,1
SecuritySchemeComponent,2
OperationExtension,0
Responses,7
AdditionalProperties_Depth_2,8
AdditionalProperties_Depth_1,10
PathServer,0
Format_google-datetime_Depth_1,2
SchemaExtension_Depth_4,0
ServerExtension,0
MediaTypeExtension,0
Callback,0
Schema_Depth_4,1
OAuthFlowAuthorizationUrl,2
Component,33
Enum_Depth_4,0
