OpenAPI feature,Count
SchemaType_string,836
ResponseHeader,0
SecuritySchemeComponent,2
Server,1
ServerExtension,0
OperationParameter,25
SecuritySchemeExtension,0
Path,9
RequestBodyContent_application/json,6
Properties_Depth_3,0
Encoding,0
SchemaExtension_Depth_3,0
Format_int64_Depth_2,8
Path_Post,5
ParameterComponent,11
ComponentExtension,0
OperationExtension,0
ResponseContent,13
ResponseExtension,0
Callback,0
Properties_Depth_1,773
Response,13
SchemaType_object,177
RequestBody,6
Format_uint32_Depth_2,2
GlobalExternalDoc,1
ServerVariable,0
RefSchema_Depth_1,123
Items_Depth_1,20
PathServer,0
SchemaType_boolean,69
OAuthFlowsExtension,0
Example,0
ResponseContent_application/json,13
MediaTypeExtension,0
RequiredParameter,11
RequestBodyExtension,0
HeaderComponent,0
GlobalExtension,0
TagExtension,0
MediaTypeEncoding,0
PathParameter,99
Format_int64_Depth_1,79
ExampleComponent,0
LinkComponent,0
SchemaType_integer,28
ResponseCode_200,13
RefSchema_Depth_2,28
SchemaExtension_Depth_2,0
Format_uint32_Depth_1,21
RequestBodyComponent,0
OAuthFlowScopes,2
CallbackComponent,0
OperationTag,13
SchemaExtension_Depth_1,0
Responses,13
ExternalDocExtension,0
GlobalWebhook,0
path_Parameter,11
Format_google-datetime_Depth_1,24
Items_Depth_2,4
SchemaComponent,26
SecurityScheme_Type_oauth2,2
Header,0
Link,0
PathExtension,0
OAuthFlow,2
Format_byte_Depth_1,155
Component,39
Path_Patch,1
RequestBodyContent_application/octet-stream,1
Format_uint64_Depth_1,2
OauthFlowTokenUrl,1
ParameterExtension,0
Enum_Depth_2,82
Properties_Depth_2,156
Enum_Depth_3,0
Format_byte_Depth_2,14
OAuthFlowAuthorizationUrl,2
Tag,4
Operation,13
ReadOnlySchema_Depth_1,70
OAuthFlowExtension,0
ResponsesExtension,0
RequestBodyContent,7
ReadOnlySchema_Depth_2,34
SchemaType_array,24
ResponseLink,0
Format_google-datetime_Depth_2,12
ResponseComponent,0
Path_Get,7
query_Parameter,124
Enum_Depth_1,334
