OpenAPI feature,Count
Format_google-datetime_Depth_1,18
ServerVariable,0
Operation,17
Items_Depth_1,80
Encoding,0
Path_Post,5
GlobalExternalDoc,1
Properties_Depth_3,189
AdditionalProperties_Depth_2,22
Format_byte_Depth_1,5
OAuthFlow,2
RefSchema_Depth_1,105
SchemaExtension_Depth_3,0
MediaTypeExtension,0
RequestBodyComponent,0
ReadOnlySchema_Depth_2,82
ResponseCode_200,17
Enum_Depth_5,0
ExampleComponent,0
Response,17
Enum_Depth_3,388
SchemaComponent,58
Format_int32_Depth_3,3
TagExtension,0
ResponseLink,0
ParameterExtension,0
RefSchema_Depth_5,2
GlobalWebhook,0
Properties_Depth_5,4
PathServer,0
PathExtension,0
Format_int64_Depth_2,7
OAuthFlowsExtension,0
Path,14
OperationParameter,45
SchemaType_object,396
SchemaType_boolean,97
OAuthFlowExtension,0
Tag,1
path_Parameter,17
ResponseHeader,0
Path_Patch,1
OperationTag,17
Enum_Depth_1,358
query_Parameter,193
Callback,0
Format_int32_Depth_4,2
RequestBodyContent_application/json,6
MediaTypeEncoding,0
ResponseExtension,0
ReadOnlySchema_Depth_1,86
SchemaExtension_Depth_1,0
Format_google-fieldmask_Depth_1,2
ExternalDocExtension,0
RequiredParameter,17
SchemaExtension_Depth_4,0
AdditionalProperties_Depth_3,4
Example,0
Enum_Depth_2,294
Format_int32_Depth_2,7
SchemaType_array,160
ParameterComponent,11
OAuthFlowAuthorizationUrl,2
OperationExtension,0
SecuritySchemeComponent,2
SecuritySchemeExtension,0
Path_Get,10
Properties_Depth_1,494
RequestBodyExtension,0
ServerExtension,0
Responses,17
Properties_Depth_2,430
Enum_Depth_4,34
Properties_Depth_4,54
GlobalExtension,0
SchemaExtension_Depth_5,0
Link,0
RefSchema_Depth_4,14
HeaderComponent,0
SecurityScheme_Type_oauth2,2
Server,1
SchemaType_integer,40
Items_Depth_4,6
RequestBodyContent,6
SchemaType_string,939
ResponsesExtension,0
ResponseContent,17
Format_int32_Depth_1,19
OauthFlowTokenUrl,1
Header,0
PathParameter,154
OAuthFlowScopes,2
LinkComponent,0
Items_Depth_2,51
Format_int64_Depth_3,4
AdditionalProperties_Depth_1,18
ResponseContent_application/json,17
RefSchema_Depth_2,120
ComponentExtension,0
SchemaExtension_Depth_2,0
Format_google-datetime_Depth_2,16
RequestBody,6
Component,71
CallbackComponent,0
RefSchema_Depth_3,53
Items_Depth_3,23
Path_Delete,1
Format_int64_Depth_1,1
ResponseComponent,0
