OpenAPI feature,Count
Format_uint64_Depth_3,39
SchemaType_number,157
Properties_Depth_2,4656
RefSchema_Depth_5,142
RefSchema_Depth_3,630
Format_uint32_Depth_1,119
ExplodeParameter,5
Enum_Depth_1,377
RefSchema_Depth_1,614
Format_int32_Depth_3,16
RequestBodyContent,41
Items_Depth_3,276
Example,0
ServerExtension,0
Path,73
SchemaType_object,2992
Enum_Depth_2,11
Server,1
ParameterExtension,0
Items_Depth_4,189
Format_uint64_Depth_4,10
Items_Depth_5,102
OperationParameter,213
ExampleComponent,0
RequiredParameter,136
Format_int32_Depth_1,31
SecurityScheme_Type_oauth2,2
OAuthFlow,2
OAuthFlowExtension,0
GlobalExtension,0
Format_uint64_Depth_2,125
SchemaExtension_Depth_3,0
Properties_Depth_7,42
SchemaExtension_Depth_7,0
Tag,14
Items_Depth_2,550
ResponseComponent,0
RequestBodyComponent,0
OauthFlowTokenUrl,1
ResponseContent,82
path_Parameter,130
Properties_Depth_1,3925
Responses,86
ResponseHeader,0
PathServer,0
SchemaType_array,1665
Path_Put,5
RefSchema_Depth_7,12
ServerVariable,0
ExternalDocExtension,0
Encoding,0
query_Parameter,897
Link,0
Path_Get,34
Format_int32_Depth_2,30
Enum_Depth_7,0
Schema_Depth_1,5341
ResponseExtension,0
PathParameter,803
Properties_Depth_4,843
Enum_Depth_5,0
Format_double_Depth_3,10
Format_double_Depth_1,68
GlobalWebhook,0
SchemaType_string,9471
ResponseCode_200,86
ResponseLink,0
Properties_Depth_5,341
OAuthFlowScopes,2
RequestBody,41
SchemaExtension_Depth_2,0
Format_int64_Depth_4,4
SchemaType_integer,562
Response,86
RefSchema_Depth_2,993
Properties_Depth_6,150
Path_Post,43
Format_uint32_Depth_3,105
SecuritySchemeExtension,0
ComponentExtension,0
PathExtension,0
Schema_Depth_3,2861
Enum_Depth_4,0
Format_double_Depth_2,79
Format_uint32_Depth_4,30
HeaderComponent,0
SchemaType_boolean,502
MediaTypeEncoding,0
ResponseContent_application/json,82
Format_uint32_Depth_5,12
SchemaExtension_Depth_1,0
Schema_Depth_2,5186
RefSchema_Depth_4,269
RefSchema_Depth_6,66
GlobalExternalDoc,1
OperationTag,86
Format_int64_Depth_2,121
Items_Depth_6,18
SecuritySchemeComponent,2
LinkComponent,0
Format_int64_Depth_1,100
Enum_Depth_6,0
OAuthFlowsExtension,0
Enum_Depth_3,0
OperationExtension,0
ResponsesExtension,0
Properties_Depth_3,2311
ParameterStyle_form,5
Schema_Depth_7,60
Operation,86
MediaTypeExtension,0
Callback,0
SchemaExtension_Depth_5,0
Format_int64_Depth_3,45
SchemaComponent,266
TagExtension,0
Schema_Depth_5,530
RequestBodyExtension,0
Schema_Depth_4,1119
Format_uint64_Depth_1,77
Header,0
ParameterComponent,11
Path_Delete,4
Format_uint32_Depth_2,206
SchemaExtension_Depth_6,0
Component,279
OAuthFlowAuthorizationUrl,2
RequestBodyContent_application/json,41
Schema_Depth_6,252
SchemaExtension_Depth_4,0
CallbackComponent,0
Items_Depth_1,530
