OpenAPI feature,Count
AdditionalProperties_Depth_2,16
ExampleComponent,0
Server,1
SchemaType_integer,31
OperationTag,35
SchemaExtension_Depth_3,0
Properties_Depth_5,0
Format_google-datetime_Depth_3,4
ReadOnlySchema_Depth_3,6
ResponseComponent,0
path_Parameter,35
PathExtension,0
RequestBody,19
RequestBodyExtension,0
Format_google-datetime_Depth_1,14
CallbackComponent,0
AdditionalProperties_Depth_1,20
ComponentExtension,0
Properties_Depth_1,515
ResponseExtension,0
Format_google-datetime_Depth_2,16
ResponseCode_200,35
RequestBodyComponent,0
ParameterExtension,0
RefSchema_Depth_1,103
Format_int32_Depth_3,4
SchemaExtension_Depth_4,0
Tag,1
Path_Post,18
ReadOnlySchema_Depth_2,41
Items_Depth_3,12
GlobalExternalDoc,1
SchemaExtension_Depth_2,0
GlobalWebhook,0
Encoding,0
RefSchema_Depth_2,99
Path_Patch,1
OauthFlowTokenUrl,1
MediaTypeEncoding,0
Operation,35
OperationParameter,71
SchemaType_array,180
Enum_Depth_3,0
RefSchema_Depth_3,23
ParameterComponent,11
Schema_Depth_3,144
OperationExtension,0
Items_Depth_1,111
Enum_Depth_4,0
OAuthFlow,2
SchemaComponent,63
Path,27
Responses,35
Schema_Depth_2,507
OAuthFlowAuthorizationUrl,2
ExternalDocExtension,0
SchemaExtension_Depth_1,0
Callback,0
Schema_Depth_4,20
Format_int32_Depth_2,9
Format_byte_Depth_1,4
AdditionalProperties_Depth_4,4
Enum_Depth_5,0
ResponseContent,35
MediaTypeExtension,0
ResponseContent_application/json,35
Properties_Depth_2,376
Link,0
SchemaExtension_Depth_5,0
Component,76
Response,35
Schema_Depth_1,1011
SchemaType_object,336
ReadOnlySchema_Depth_1,59
HeaderComponent,0
RequestBodyContent,19
RequiredParameter,35
Enum_Depth_1,196
PathParameter,297
SecuritySchemeComponent,2
ResponsesExtension,0
Path_Delete,1
TagExtension,0
OAuthFlowScopes,2
Example,0
Header,0
ResponseLink,0
RequestBodyContent_application/json,19
AdditionalProperties_Depth_3,8
Enum_Depth_2,49
Items_Depth_2,57
GlobalExtension,0
ServerExtension,0
Properties_Depth_3,71
OAuthFlowsExtension,0
ServerVariable,0
ResponseHeader,0
OAuthFlowExtension,0
LinkComponent,0
Schema_Depth_5,4
Format_int32_Depth_1,9
Path_Get,15
PathServer,0
query_Parameter,344
SecurityScheme_Type_oauth2,2
SecuritySchemeExtension,0
SchemaType_string,1030
SchemaType_boolean,91
Properties_Depth_4,0
