OpenAPI feature,Count
RequestBodyComponent,0
OperationParameter,41
Format_byte_Depth_1,7
Path_Patch,1
Schema_Depth_5,2
SecuritySchemeComponent,2
Items_Depth_1,54
Format_int32_Depth_1,16
OAuthFlow,2
Example,0
Enum_Depth_2,79
Component,46
Enum_Depth_1,138
SchemaExtension_Depth_2,0
ParameterExtension,0
SchemaExtension_Depth_1,0
OauthFlowTokenUrl,1
ExternalDocExtension,0
SchemaType_integer,29
ParameterComponent,11
Path_Post,8
OperationTag,18
Schema_Depth_1,550
RequestBodyContent_application/json,9
RefSchema_Depth_1,50
RequiredParameter,18
Items_Depth_4,2
SchemaComponent,33
SchemaType_object,202
Response,18
OperationExtension,0
RequestBodyContent,9
Header,0
SchemaType_boolean,65
PathExtension,0
Operation,18
Properties_Depth_1,284
SecuritySchemeExtension,0
Format_int32_Depth_2,6
OAuthFlowsExtension,0
PathServer,0
RequestBodyExtension,0
ResponseContent,18
Schema_Depth_3,99
Enum_Depth_5,0
OAuthFlowExtension,0
GlobalWebhook,0
SchemaExtension_Depth_3,0
AdditionalProperties_Depth_1,21
GlobalExtension,0
ReadOnlySchema_Depth_1,36
SchemaExtension_Depth_5,0
Path_Get,8
ReadOnlySchema_Depth_2,24
Properties_Depth_4,4
OAuthFlowAuthorizationUrl,2
OAuthFlowScopes,2
RefSchema_Depth_2,54
Properties_Depth_3,44
RefSchema_Depth_4,2
Tag,1
TagExtension,0
SchemaType_string,535
Callback,0
query_Parameter,188
ResponseLink,0
ResponseContent_application/json,18
ResponseExtension,0
SchemaType_array,103
ResponseComponent,0
LinkComponent,0
MediaTypeExtension,0
Format_google-datetime_Depth_1,8
Format_google-datetime_Depth_2,4
Server,1
ServerVariable,0
ServerExtension,0
Properties_Depth_2,219
ExampleComponent,0
SecurityScheme_Type_oauth2,2
ComponentExtension,0
GlobalExternalDoc,1
Path,14
Items_Depth_2,34
Items_Depth_3,13
Schema_Depth_4,21
CallbackComponent,0
path_Parameter,18
Enum_Depth_4,8
AdditionalProperties_Depth_2,21
Format_byte_Depth_2,2
SchemaExtension_Depth_4,0
AdditionalProperties_Depth_3,4
Properties_Depth_5,0
Responses,18
ResponseCode_200,18
ResponseHeader,0
Link,0
PathParameter,154
HeaderComponent,0
ResponsesExtension,0
Schema_Depth_2,294
RefSchema_Depth_3,17
Enum_Depth_3,54
Path_Delete,1
MediaTypeEncoding,0
Encoding,0
RequestBody,9
Format_google-fieldmask_Depth_1,2
