OpenAPI feature,Count
Encoding,0
Format_double_Depth_1,40
RequestBody,22
Format_google-duration_Depth_3,4
Component,136
HeaderComponent,0
Format_google-duration_Depth_1,61
ReadOnlySchema_Depth_2,280
Format_byte_Depth_1,5
Tag,1
SchemaType_string,5041
Responses,34
Properties_Depth_2,2822
ResponseExtension,0
Format_google-datetime_Depth_3,6
Format_int64_Depth_2,21
RefSchema_Depth_4,14
SecuritySchemeExtension,0
Enum_Depth_1,735
Properties_Depth_1,4049
Response,34
ResponseCode_200,34
Items_Depth_2,516
OperationParameter,94
Enum_Depth_3,969
Format_int64_Depth_1,17
Enum_Depth_4,182
PathParameter,264
query_Parameter,306
ResponseComponent,0
RefSchema_Depth_2,748
Format_google-duration_Depth_2,32
Path_Patch,2
RequestBodyContent_application/json,22
SchemaComponent,123
ServerExtension,0
RequestBodyComponent,0
ParameterExtension,0
MediaTypeExtension,0
Items_Depth_1,699
OauthFlowTokenUrl,1
Path_Delete,3
Path,24
ResponseContent_application/json,34
Properties_Depth_3,645
Path_Get,8
Format_int32_Depth_3,60
OAuthFlowExtension,0
MediaTypeEncoding,0
SchemaExtension_Depth_2,0
Link,0
AdditionalProperties_Depth_3,47
OAuthFlow,2
ResponseLink,0
ExampleComponent,0
OAuthFlowScopes,2
SchemaType_boolean,417
Items_Depth_3,98
Format_int32_Depth_4,4
SchemaExtension_Depth_1,0
Format_int64_Depth_3,25
SchemaExtension_Depth_4,0
Format_float_Depth_3,2
OAuthFlowsExtension,0
Path_Post,20
OperationExtension,0
path_Parameter,63
AdditionalProperties_Depth_2,265
PathExtension,0
ServerVariable,0
ResponsesExtension,0
AdditionalProperties_Depth_1,409
ReadOnlySchema_Depth_3,42
Format_double_Depth_2,16
Format_int32_Depth_2,228
Operation,34
ResponseHeader,0
RequestBodyExtension,0
Path_Put,1
Properties_Depth_4,42
Format_int32_Depth_1,265
SchemaExtension_Depth_3,0
SecurityScheme_Type_oauth2,2
TagExtension,0
SchemaType_array,1313
GlobalWebhook,0
Callback,0
ReadOnlySchema_Depth_1,522
SchemaType_number,68
Format_int64_Depth_4,6
OAuthFlowAuthorizationUrl,2
ExternalDocExtension,0
Server,1
RequiredParameter,63
Example,0
SchemaType_object,2687
RefSchema_Depth_3,189
Enum_Depth_2,1634
ComponentExtension,0
Format_google-datetime_Depth_2,39
ParameterComponent,11
RequestBodyContent,22
RefSchema_Depth_1,892
Header,0
SchemaType_integer,565
Format_google-datetime_Depth_1,81
PathServer,0
Format_float_Depth_2,9
OperationTag,34
Format_float_Depth_1,1
GlobalExternalDoc,1
GlobalExtension,0
ResponseContent,34
SecuritySchemeComponent,2
LinkComponent,0
CallbackComponent,0
