OpenAPI feature,Count
path_Parameter,11
Format_double_Depth_3,5
SchemaType_string,519
SchemaType_boolean,28
SchemaType_integer,82
SchemaExtension_Depth_4,0
Format_int32_Depth_1,54
OAuthFlowAuthorizationUrl,2
OperationParameter,21
ResponseExtension,0
Header,0
ResponseLink,0
PathParameter,88
OperationExtension,0
LinkComponent,0
TagExtension,0
OperationTag,11
OAuthFlowsExtension,0
Path_Get,4
Format_byte_Depth_1,2
HeaderComponent,0
GlobalExternalDoc,1
RequiredParameter,11
Schema_Depth_1,674
Properties_Depth_3,18
Format_google-datetime_Depth_2,3
ExternalDocExtension,0
OAuthFlowScopes,2
GlobalExtension,0
RequestBodyContent,6
Path_Patch,1
Format_double_Depth_2,1
RequestBodyComponent,0
Path_Post,5
Server,1
AdditionalProperties_Depth_2,24
ServerVariable,0
Items_Depth_2,30
Encoding,0
Properties_Depth_1,494
query_Parameter,109
Operation,11
Response,11
PathExtension,0
RequestBodyExtension,0
SecurityScheme_Type_oauth2,2
ResponsesExtension,0
MediaTypeEncoding,0
CallbackComponent,0
ResponseCode_200,11
Schema_Depth_3,72
Link,0
Path_Delete,1
SchemaType_number,54
OAuthFlowExtension,0
SchemaType_object,248
Items_Depth_1,49
RequestBodyContent_application/json,6
Example,0
ResponseContent_application/json,11
RefSchema_Depth_1,92
Component,56
OAuthFlow,2
Format_int32_Depth_3,3
AdditionalProperties_Depth_3,6
RequestBody,6
Format_int64_Depth_1,12
SchemaComponent,43
ServerExtension,0
Path,8
SchemaExtension_Depth_1,0
MediaTypeExtension,0
ExampleComponent,0
OauthFlowTokenUrl,1
SchemaType_array,88
ResponseComponent,0
Responses,11
Enum_Depth_2,0
Schema_Depth_4,15
Format_double_Depth_4,3
RefSchema_Depth_3,6
Format_google-duration_Depth_2,3
SchemaExtension_Depth_3,0
Properties_Depth_2,229
AdditionalProperties_Depth_1,26
Format_google-datetime_Depth_1,13
Format_float_Depth_1,30
ComponentExtension,0
SecuritySchemeComponent,2
Enum_Depth_1,51
Format_int32_Depth_2,23
Enum_Depth_4,0
Enum_Depth_3,0
RefSchema_Depth_2,51
Items_Depth_3,9
ParameterComponent,11
Properties_Depth_4,0
SecuritySchemeExtension,0
ResponseContent,11
SchemaExtension_Depth_2,0
ParameterExtension,0
ResponseHeader,0
Format_float_Depth_2,15
GlobalWebhook,0
Tag,1
Schema_Depth_2,304
Callback,0
PathServer,0
Format_google-duration_Depth_1,6
