OpenAPI feature,Count
ParameterExtension,0
Properties_Depth_3,1635
Format_google-duration_Depth_3,2
ParameterComponent,11
Items_Depth_2,399
ExternalDocExtension,0
TagExtension,0
Path,97
Format_double_Depth_1,58
SchemaComponent,283
SecuritySchemeComponent,2
Example,0
SchemaType_number,199
OAuthFlowAuthorizationUrl,2
GlobalWebhook,0
Path_Patch,15
ResponseComponent,0
OauthFlowTokenUrl,1
GlobalExternalDoc,1
ResponseExtension,0
PathExtension,0
ReadOnlySchema_Depth_1,1126
ResponseCode_200,140
SchemaType_object,4544
Path_Get,66
Items_Depth_1,558
RequestBodyComponent,0
ResponsesExtension,0
RequestBody,59
SchemaExtension_Depth_3,0
path_Parameter,200
Callback,0
Format_int64_Depth_2,701
Format_int64_Depth_5,6
ResponseHeader,0
OAuthFlowsExtension,0
RefSchema_Depth_3,587
Enum_Depth_5,180
HeaderComponent,0
OperationTag,140
Path_Post,44
RequestBodyContent_application/octet-stream,2
Format_int64_Depth_3,269
Component,296
RequestBodyContent,59
ExampleComponent,0
Format_int64_Depth_4,61
ServerVariable,0
SchemaType_string,10397
Encoding,0
Enum_Depth_1,10593
SchemaType_boolean,1187
RefSchema_Depth_1,1453
PathServer,0
RequestBodyExtension,0
Tag,15
Operation,140
RequiredParameter,200
Response,140
ResponseContent_application/json,140
ResponseLink,0
Server,1
MediaTypeExtension,0
Format_int32_Depth_1,252
Properties_Depth_2,7119
Format_google-duration_Depth_2,8
Format_float_Depth_1,1
Format_int32_Depth_2,252
Properties_Depth_4,92
OAuthFlowExtension,0
GlobalExtension,0
Properties_Depth_1,6069
query_Parameter,1311
SchemaType_array,1060
RefSchema_Depth_4,61
Header,0
PathParameter,1067
RefSchema_Depth_5,6
Format_double_Depth_3,24
Format_float_Depth_2,6
Properties_Depth_5,12
SecuritySchemeExtension,0
LinkComponent,0
OperationExtension,0
MediaTypeEncoding,0
Link,0
ReadOnlySchema_Depth_2,1179
ReadOnlySchema_Depth_3,182
RefSchema_Depth_2,2142
Enum_Depth_2,14284
Format_int32_Depth_3,52
AdditionalProperties_Depth_2,4
CallbackComponent,0
ServerExtension,0
Path_Delete,15
Enum_Depth_3,4959
Items_Depth_3,97
Format_double_Depth_2,108
Responses,140
ResponseContent,140
SchemaType_integer,593
OAuthFlow,2
ComponentExtension,0
SchemaExtension_Depth_1,0
SchemaExtension_Depth_2,0
Format_int64_Depth_1,781
Format_google-datetime_Depth_1,79
SchemaExtension_Depth_4,0
OperationParameter,433
SchemaExtension_Depth_5,0
Format_float_Depth_3,2
SecurityScheme_Type_oauth2,2
Format_google-datetime_Depth_2,26
Format_google-duration_Depth_1,8
RequestBodyContent_application/json,57
Enum_Depth_4,1200
Items_Depth_4,6
AdditionalProperties_Depth_1,8
OAuthFlowScopes,8
