OpenAPI feature,Count
GlobalExtension,0
ResponseHeader,0
SchemaType_object,431
RequestBodyComponent,0
HeaderComponent,0
PathExtension,0
RequestBodyContent_application/json,11
ReadOnlySchema_Depth_1,88
Server,1
OperationParameter,38
RequiredParameter,22
RefSchema_Depth_3,11
Callback,0
OAuthFlowsExtension,0
SecuritySchemeExtension,0
ExternalDocExtension,0
Format_google-datetime_Depth_1,16
Path_Patch,1
Format_google-fieldmask_Depth_1,8
ReadOnlySchema_Depth_2,22
OAuthFlowAuthorizationUrl,2
Path_Get,10
SchemaType_string,1600
Items_Depth_1,234
OAuthFlowScopes,2
ComponentExtension,0
Path_Delete,1
SchemaComponent,42
ResponseComponent,0
ServerVariable,0
Properties_Depth_4,0
RequestBodyExtension,0
Format_int64_Depth_1,12
Format_int64_Depth_2,4
ParameterComponent,11
GlobalWebhook,0
Link,0
Path_Post,10
Component,55
Operation,22
Enum_Depth_1,491
Header,0
RefSchema_Depth_2,100
MediaTypeEncoding,0
SchemaType_integer,131
SchemaExtension_Depth_2,0
ExampleComponent,0
CallbackComponent,0
GlobalExternalDoc,1
path_Parameter,22
Encoding,0
Enum_Depth_3,138
ResponseLink,0
RequestBody,11
Tag,1
OperationExtension,0
AdditionalProperties_Depth_3,2
LinkComponent,0
Format_int32_Depth_3,4
OAuthFlow,2
OauthFlowTokenUrl,1
SchemaExtension_Depth_1,0
query_Parameter,247
ResponseContent_application/json,22
SchemaExtension_Depth_3,0
PathServer,0
ParameterExtension,0
ResponsesExtension,0
Items_Depth_2,75
Format_byte_Depth_1,5
RequestBodyContent,11
MediaTypeExtension,0
Format_google-datetime_Depth_2,4
ServerExtension,0
TagExtension,0
Path,20
Items_Depth_3,9
SchemaExtension_Depth_4,0
SchemaType_boolean,41
Format_int32_Depth_2,40
Responses,22
ResponseCode_200,22
ResponseContent,22
Enum_Depth_4,0
ResponseExtension,0
OperationTag,22
Properties_Depth_2,463
AdditionalProperties_Depth_2,21
SecurityScheme_Type_oauth2,2
OAuthFlowExtension,0
Enum_Depth_2,709
Properties_Depth_3,32
Example,0
Response,22
Format_int32_Depth_1,82
PathParameter,220
AdditionalProperties_Depth_1,31
Properties_Depth_1,1350
RefSchema_Depth_1,224
SchemaType_array,318
SecuritySchemeComponent,2
