OpenAPI feature,Count
Properties_Depth_4,0
ReadOnlySchema_Depth_2,8
Tag,1
RequiredParameter,11
Response,11
SchemaType_array,54
SchemaExtension_Depth_3,0
Enum_Depth_3,20
Callback,0
SchemaComponent,23
SecuritySchemeComponent,2
Items_Depth_2,15
Format_byte_Depth_1,5
ExampleComponent,0
OAuthFlow,2
OauthFlowTokenUrl,1
GlobalExtension,0
RefSchema_Depth_2,36
ResponseLink,0
AdditionalProperties_Depth_1,14
ExternalDocExtension,0
SchemaType_object,138
Items_Depth_1,34
Format_int32_Depth_2,2
Server,1
ServerVariable,0
Path_Get,5
ResponsesExtension,0
ResponseContent_application/json,11
Component,36
GlobalWebhook,0
HeaderComponent,0
SecurityScheme_Type_oauth2,2
OAuthFlowsExtension,0
OperationExtension,0
SchemaExtension_Depth_4,0
PathExtension,0
Path_Post,4
AdditionalProperties_Depth_2,15
ComponentExtension,0
OperationParameter,29
ReadOnlySchema_Depth_1,25
ResponseExtension,0
Link,0
SchemaType_boolean,21
Properties_Depth_1,182
SchemaType_integer,16
ResponseHeader,0
Header,0
ResponseContent,11
Format_google-fieldmask_Depth_1,2
Format_google-datetime_Depth_2,4
ParameterComponent,11
OAuthFlowScopes,2
MediaTypeExtension,0
PathParameter,88
RequestBody,5
Format_google-datetime_Depth_1,10
SecuritySchemeExtension,0
query_Parameter,117
Responses,11
Enum_Depth_4,0
AdditionalProperties_Depth_3,2
Path_Patch,1
CallbackComponent,0
SchemaExtension_Depth_1,0
SchemaExtension_Depth_2,0
RequestBodyExtension,0
ResponseComponent,0
LinkComponent,0
TagExtension,0
Operation,11
OperationTag,11
SchemaType_string,310
ParameterExtension,0
path_Parameter,11
Enum_Depth_2,4
RequestBodyComponent,0
OAuthFlowExtension,0
GlobalExternalDoc,1
Example,0
RefSchema_Depth_3,7
Properties_Depth_3,14
Format_int32_Depth_1,10
MediaTypeEncoding,0
PathServer,0
RequestBodyContent_application/json,5
Path_Delete,1
Encoding,0
ResponseCode_200,11
RefSchema_Depth_1,41
Properties_Depth_2,113
Items_Depth_3,5
OAuthFlowAuthorizationUrl,2
ServerExtension,0
Path,8
Enum_Depth_1,49
RequestBodyContent,5
