OpenAPI feature,Count
Properties_Depth_3,72
Path_Post,5
SecuritySchemeExtension,0
OperationTag,13
ResponseHeader,0
SchemaType_integer,124
Encoding,0
SchemaType_array,72
Component,49
ResponseComponent,0
OperationParameter,37
SchemaType_boolean,42
RefSchema_Depth_2,56
RequiredParameter,13
ResponseExtension,0
Format_int32_Depth_3,28
OAuthFlowsExtension,0
Path_Get,6
Operation,13
path_Parameter,13
Callback,0
Properties_Depth_5,0
Header,0
Enum_Depth_3,42
AdditionalProperties_Depth_3,2
RefSchema_Depth_4,2
Items_Depth_4,2
Format_google-duration_Depth_3,2
SecuritySchemeComponent,2
Example,0
Items_Depth_3,8
Path,8
Path_Delete,1
query_Parameter,123
SchemaComponent,36
OAuthFlowScopes,2
Server,1
Enum_Depth_5,0
ParameterComponent,11
OauthFlowTokenUrl,1
RefSchema_Depth_1,48
Items_Depth_1,42
RequestBodyContent,6
LinkComponent,0
SchemaType_string,442
ResponseContent,13
OAuthFlowExtension,0
Format_int32_Depth_1,45
CallbackComponent,0
HeaderComponent,0
ComponentExtension,0
GlobalExternalDoc,1
GlobalWebhook,0
Response,13
Format_google-datetime_Depth_2,13
RequestBodyComponent,0
Properties_Depth_1,301
SchemaExtension_Depth_3,0
ExternalDocExtension,0
AdditionalProperties_Depth_2,26
Format_google-datetime_Depth_1,16
Properties_Depth_2,227
MediaTypeEncoding,0
Link,0
RequestBody,6
RequestBodyContent_application/json,6
SchemaExtension_Depth_1,0
Responses,13
SchemaType_object,226
Format_int64_Depth_4,4
Format_google-duration_Depth_1,5
ExampleComponent,0
OperationExtension,0
ParameterExtension,0
SchemaExtension_Depth_5,0
Items_Depth_2,20
OAuthFlow,2
ServerExtension,0
ResponsesExtension,0
MediaTypeExtension,0
ReadOnlySchema_Depth_2,38
OAuthFlowAuthorizationUrl,2
ResponseContent_application/json,13
Format_int64_Depth_1,12
PathParameter,88
SchemaExtension_Depth_4,0
ReadOnlySchema_Depth_3,2
Format_google-duration_Depth_2,6
TagExtension,0
Path_Patch,1
PathServer,0
ResponseCode_200,13
SecurityScheme_Type_oauth2,2
GlobalExtension,0
ServerVariable,0
Properties_Depth_4,10
Enum_Depth_1,154
SchemaExtension_Depth_2,0
RequestBodyExtension,0
Enum_Depth_4,16
RefSchema_Depth_3,20
Tag,1
Enum_Depth_2,134
ResponseLink,0
Format_int64_Depth_2,12
Format_int64_Depth_3,6
Format_int32_Depth_2,46
AdditionalProperties_Depth_1,36
ReadOnlySchema_Depth_1,54
PathExtension,0
