OpenAPI feature,Count
Properties_Depth_4,10
ExampleComponent,0
SecuritySchemeComponent,2
PathParameter,110
RefSchema_Depth_3,22
ExternalDocExtension,0
Callback,0
RequestBodyContent_application/json,8
Properties_Depth_1,357
SecurityScheme_Type_oauth2,2
Items_Depth_1,50
MediaTypeEncoding,0
SchemaExtension_Depth_4,0
ServerExtension,0
SchemaType_object,252
Properties_Depth_3,82
SchemaExtension_Depth_3,0
MediaTypeExtension,0
Link,0
Component,52
path_Parameter,16
Response,16
RequestBodyContent,8
Format_int64_Depth_1,22
Format_int32_Depth_2,46
Enum_Depth_2,162
AdditionalProperties_Depth_2,30
Enum_Depth_1,180
ResponseLink,0
Encoding,0
Server,1
Properties_Depth_2,267
Format_google-duration_Depth_3,2
Enum_Depth_3,54
Format_int32_Depth_1,47
OAuthFlowExtension,0
Format_google-datetime_Depth_2,15
Items_Depth_3,10
AdditionalProperties_Depth_3,2
RefSchema_Depth_2,60
ParameterComponent,11
Path_Post,7
Items_Depth_2,24
Enum_Depth_5,0
RefSchema_Depth_1,55
PathExtension,0
LinkComponent,0
Path_Get,7
SchemaExtension_Depth_1,0
Header,0
Items_Depth_4,2
OAuthFlowScopes,2
SecuritySchemeExtension,0
GlobalWebhook,0
GlobalExtension,0
ResponseContent,16
OAuthFlow,2
OperationParameter,45
Responses,16
Operation,16
Format_int64_Depth_4,4
OAuthFlowAuthorizationUrl,2
Path,10
ReadOnlySchema_Depth_2,50
ComponentExtension,0
RefSchema_Depth_4,2
SchemaComponent,39
Format_google-datetime_Depth_1,18
HeaderComponent,0
OAuthFlowsExtension,0
ServerVariable,0
SchemaType_integer,127
PathServer,0
ReadOnlySchema_Depth_3,2
ResponseComponent,0
OauthFlowTokenUrl,1
OperationExtension,0
query_Parameter,150
Path_Delete,1
SchemaType_boolean,50
RequestBodyExtension,0
ResponsesExtension,0
ResponseCode_200,16
AdditionalProperties_Depth_1,42
Enum_Depth_4,16
Format_google-duration_Depth_2,6
Format_int32_Depth_3,28
OperationTag,16
Example,0
GlobalExternalDoc,1
CallbackComponent,0
RequiredParameter,16
ResponseHeader,0
RequestBody,8
Format_int64_Depth_3,10
ReadOnlySchema_Depth_1,66
ResponseExtension,0
Properties_Depth_5,0
RequestBodyComponent,0
ResponseContent_application/json,16
SchemaType_string,553
ParameterExtension,0
SchemaType_array,86
SchemaExtension_Depth_2,0
Format_int64_Depth_2,26
SchemaExtension_Depth_5,0
Tag,1
TagExtension,0
Path_Patch,1
Format_google-duration_Depth_1,5
