OpenAPI feature,Count
ServerExtension,0
Path_Post,13
RequestBodyExtension,0
Enum_Depth_2,18
Format_google-duration_Depth_2,12
SchemaType_integer,2
SecuritySchemeComponent,2
OauthFlowTokenUrl,1
Example,0
Response,24
ResponseContent,24
Callback,0
PathParameter,231
ParameterComponent,11
OperationTag,24
Enum_Depth_1,125
MediaTypeExtension,0
Format_byte_Depth_1,16
PathServer,0
GlobalExternalDoc,1
RequestBodyContent_application/json,14
Header,0
ResponseExtension,0
ParameterStyle_form,6
ResponseComponent,0
SecuritySchemeExtension,0
ResponseLink,0
Link,0
TagExtension,0
Operation,24
RequiredParameter,24
Schema_Depth_1,484
SchemaExtension_Depth_1,0
RequestBodyContent,14
ReadOnlySchema_Depth_1,2
Tag,2
Responses,24
Format_google-duration_Depth_1,21
Format_google-fieldmask_Depth_2,2
Component,50
RequestBody,14
ResponseContent_application/json,24
PathExtension,0
Properties_Depth_2,64
OAuthFlow,2
GlobalWebhook,0
Properties_Depth_1,132
Items_Depth_1,27
ExampleComponent,0
SecurityScheme_Type_oauth2,2
ResponsesExtension,0
RefSchema_Depth_2,23
ResponseCode_200,24
Schema_Depth_2,91
Format_google-fieldmask_Depth_1,3
OperationExtension,0
SchemaType_string,417
SchemaType_object,101
RefSchema_Depth_1,41
Path_Get,9
SchemaComponent,37
Path_Patch,1
OAuthFlowAuthorizationUrl,2
ComponentExtension,0
LinkComponent,0
ServerVariable,0
path_Parameter,24
ParameterExtension,0
SchemaType_boolean,28
RequestBodyComponent,0
OAuthFlowsExtension,0
GlobalExtension,0
Server,1
OperationParameter,35
HeaderComponent,0
Path_Delete,1
OAuthFlowScopes,4
Path,21
Encoding,0
MediaTypeEncoding,0
ResponseHeader,0
ExplodeParameter,6
SchemaExtension_Depth_2,0
OAuthFlowExtension,0
CallbackComponent,0
ExternalDocExtension,0
query_Parameter,253
SchemaType_array,27
ReadOnlySchema_Depth_2,4
