OpenAPI feature,Count
SecuritySchemeExtension,0
GlobalExternalDoc,1
RequiredParameter,7
RequestBodyContent_application/json,4
OauthFlowTokenUrl,1
SchemaType_integer,1
Items_Depth_1,2
ParameterComponent,11
OAuthFlowExtension,0
LinkComponent,0
Tag,1
OperationExtension,0
PathParameter,55
PathServer,0
Schema_Depth_2,12
CallbackComponent,0
ServerExtension,0
Schema_Depth_1,138
Responses,7
SchemaType_array,2
GlobalExtension,0
Path_Post,4
Properties_Depth_1,44
MediaTypeEncoding,0
query_Parameter,71
OperationParameter,12
RequestBody,4
SchemaType_object,18
Callback,0
SchemaType_boolean,8
SecuritySchemeComponent,2
OAuthFlowScopes,8
RequestBodyContent,4
MediaTypeExtension,0
ResponseExtension,0
ResponseContent_application/json,7
ComponentExtension,0
Operation,7
path_Parameter,7
ParameterExtension,0
PathExtension,0
Path_Get,2
Server,1
ServerVariable,0
Path,5
HeaderComponent,0
OAuthFlowAuthorizationUrl,2
GlobalWebhook,0
SecurityScheme_Type_oauth2,2
TagExtension,0
ResponseCode_200,7
Link,0
ResponseHeader,0
ReadOnlySchema_Depth_1,24
RequestBodyComponent,0
SchemaExtension_Depth_1,0
RequestBodyExtension,0
Response,7
ResponseLink,0
Path_Delete,1
ReadOnlySchema_Depth_2,6
ExampleComponent,0
OAuthFlow,2
ResponsesExtension,0
ResponseContent,7
RefSchema_Depth_2,2
Properties_Depth_2,10
OperationTag,7
Example,0
RefSchema_Depth_1,11
ResponseComponent,0
ExternalDocExtension,0
SchemaType_string,121
Enum_Depth_2,14
Component,18
SchemaComponent,5
OAuthFlowsExtension,0
Encoding,0
Header,0
SchemaExtension_Depth_2,0
Enum_Depth_1,86
