OpenAPI feature,Count
ResponseHeader,0
Path_Get,1
SchemaType_array,6
Items_Depth_2,2
path_Parameter,3
Example,0
Schema_Depth_3,8
CallbackComponent,0
OperationParameter,6
ResponseExtension,0
Schema_Depth_2,22
SchemaExtension_Depth_2,0
Enum_Depth_3,0
Path_Delete,1
ParameterComponent,11
ExampleComponent,0
Tag,1
GlobalWebhook,0
OperationTag,3
Properties_Depth_1,15
Component,16
OperationExtension,0
SchemaExtension_Depth_3,0
AdditionalProperties_Depth_2,6
AdditionalProperties_Depth_1,2
ExternalDocExtension,0
PathParameter,22
RequiredParameter,3
Encoding,0
RequestBodyExtension,0
Link,0
Callback,0
PathExtension,0
Schema_Depth_4,2
ServerExtension,0
Format_int32_Depth_1,2
MediaTypeEncoding,0
query_Parameter,36
SchemaType_boolean,6
Enum_Depth_2,0
Enum_Depth_4,0
LinkComponent,0
GlobalExternalDoc,1
SchemaType_object,24
ServerVariable,0
Operation,3
RequestBodyContent_application/json,1
ResponseContent_application/json,3
RequestBodyComponent,0
Server,1
Path_Post,1
Enum_Depth_1,15
ResponsesExtension,0
Header,0
Properties_Depth_2,16
ResponseComponent,0
TagExtension,0
RefSchema_Depth_1,5
HeaderComponent,0
SecuritySchemeComponent,0
SchemaExtension_Depth_1,0
SchemaType_integer,5
SchemaExtension_Depth_4,0
Properties_Depth_3,0
ComponentExtension,0
PathServer,0
Schema_Depth_1,63
RequestBodyContent,1
Format_int32_Depth_2,2
GlobalExtension,0
Properties_Depth_4,0
ParameterExtension,0
ResponseContent,3
SchemaComponent,5
Responses,3
SchemaType_string,44
RequestBody,1
AdditionalProperties_Depth_3,2
Path,2
Response,3
ResponseCode_200,3
ResponseLink,0
Items_Depth_1,4
RefSchema_Depth_2,4
MediaTypeExtension,0
