OpenAPI feature,Count
Schema_Depth_1,814
ResponseCode_200,17
SchemaType_object,348
PathParameter,99
Format_int32_Depth_2,14
GlobalWebhook,0
query_Parameter,130
Enum_Depth_3,0
SecuritySchemeExtension,0
Server,1
SchemaType_array,103
MediaTypeEncoding,0
Format_int32_Depth_1,7
ComponentExtension,0
AdditionalProperties_Depth_3,6
Schema_Depth_4,6
LinkComponent,0
SchemaExtension_Depth_2,0
Properties_Depth_4,0
GlobalExternalDoc,1
ExternalDocExtension,0
SchemaType_boolean,52
SchemaType_integer,33
Items_Depth_2,24
SchemaComponent,31
OAuthFlowsExtension,0
GlobalExtension,0
Enum_Depth_1,361
Path_Delete,1
ResponseComponent,0
HeaderComponent,0
RequestBodyComponent,0
Callback,0
SchemaExtension_Depth_1,0
ResponsesExtension,0
MediaTypeExtension,0
SecuritySchemeComponent,2
OauthFlowTokenUrl,1
Schema_Depth_2,557
Path_Post,7
SchemaExtension_Depth_4,0
ParameterExtension,0
RefSchema_Depth_2,108
ResponseExtension,0
RequestBodyContent,9
PathServer,0
ReadOnlySchema_Depth_2,12
ReadOnlySchema_Depth_1,18
ParameterComponent,11
OAuthFlowAuthorizationUrl,2
Header,0
ResponseContent,17
Responses,17
Items_Depth_1,79
OAuthFlowScopes,8
RequestBodyContent_application/json,9
Path,9
RefSchema_Depth_1,130
Link,0
Operation,17
Response,17
Schema_Depth_3,145
RefSchema_Depth_3,24
Tag,2
Properties_Depth_2,454
Enum_Depth_4,0
RequiredParameter,17
SchemaType_string,979
Properties_Depth_1,610
Example,0
Component,44
Properties_Depth_3,96
Format_google-datetime_Depth_1,61
OAuthFlow,2
OperationExtension,0
Format_int64_Depth_2,12
Format_google-datetime_Depth_2,32
Format_int32_Depth_3,6
AdditionalProperties_Depth_1,24
Format_google-duration_Depth_1,3
Format_int64_Depth_1,23
Path_Patch,1
TagExtension,0
ResponseContent_application/json,17
ResponseLink,0
ServerVariable,0
path_Parameter,17
ResponseHeader,0
Enum_Depth_2,140
Format_google-duration_Depth_2,2
AdditionalProperties_Depth_2,25
RequestBodyExtension,0
Path_Put,1
ExampleComponent,0
CallbackComponent,0
ServerExtension,0
SchemaExtension_Depth_3,0
OAuthFlowExtension,0
SecurityScheme_Type_oauth2,2
OperationTag,17
OperationParameter,37
Encoding,0
RequestBody,9
Path_Get,7
PathExtension,0
