OpenAPI feature,Count
RequiredParameter,4
Schema_Depth_2,4
Tag,1
Schema_Depth_1,87
Response,4
ResponsesExtension,0
ResponseContent,4
ResponseContent_application/json,4
PathExtension,0
SchemaType_array,2
GlobalExtension,0
SecuritySchemeExtension,0
Enum_Depth_2,0
OAuthFlowAuthorizationUrl,2
OAuthFlowScopes,4
OperationTag,4
RequestBodyExtension,0
ResponseHeader,0
Component,20
Encoding,0
OperationParameter,6
RequestBody,2
Path_Get,2
RefSchema_Depth_2,2
HeaderComponent,0
OAuthFlowExtension,0
LinkComponent,0
Path_Post,2
PathParameter,44
query_Parameter,57
Enum_Depth_1,49
RequestBodyContent_application/json,2
SchemaType_integer,1
ExternalDocExtension,0
SchemaExtension_Depth_1,0
Items_Depth_1,2
SchemaComponent,7
OAuthFlowsExtension,0
TagExtension,0
MediaTypeExtension,0
ResponseExtension,0
SchemaType_boolean,5
ResponseComponent,0
ExampleComponent,0
OauthFlowTokenUrl,1
path_Parameter,4
SchemaType_string,68
Header,0
Callback,0
Properties_Depth_2,2
Server,1
OperationExtension,0
Example,0
Link,0
PathServer,0
Format_google-datetime_Depth_1,4
SecurityScheme_Type_oauth2,2
ServerVariable,0
Operation,4
Properties_Depth_1,13
SchemaType_object,15
RefSchema_Depth_1,6
SecuritySchemeComponent,2
ServerExtension,0
ParameterExtension,0
MediaTypeEncoding,0
ResponseCode_200,4
ParameterComponent,11
RequestBodyComponent,0
OAuthFlow,2
ComponentExtension,0
Path,4
GlobalExternalDoc,1
Responses,4
ResponseLink,0
SchemaExtension_Depth_2,0
RequestBodyContent,2
GlobalWebhook,0
CallbackComponent,0
