OpenAPI feature,Count
RequestBody,3
ExampleComponent,0
Response,18
Header,0
ResponseLink,0
Callback,0
PathParameter,187
Format_int64_Depth_2,14
GlobalExternalDoc,1
Items_Depth_2,2
ParameterComponent,11
GlobalWebhook,0
Tag,5
TagExtension,0
PathExtension,0
MediaTypeEncoding,0
RefSchema_Depth_2,16
SecuritySchemeComponent,2
Properties_Depth_2,70
RequestBodyContent_application/json,3
LinkComponent,0
ServerExtension,0
Operation,18
Properties_Depth_1,108
SchemaType_boolean,27
SchemaType_array,16
OAuthFlowsExtension,0
Path,17
ResponseCode_200,18
MediaTypeExtension,0
RequestBodyContent,3
OAuthFlowAuthorizationUrl,2
OauthFlowTokenUrl,1
Enum_Depth_3,0
SecurityScheme_Type_oauth2,2
Server,1
SchemaExtension_Depth_1,0
Example,0
ResponseContent_application/json,5
ReadOnlySchema_Depth_2,4
RequestBodyExtension,0
OAuthFlowScopes,2
Path_Post,16
OperationExtension,0
ResponseExtension,0
PathServer,0
SecuritySchemeExtension,0
RequiredParameter,11
Encoding,0
ResponseHeader,0
SchemaType_object,52
RefSchema_Depth_1,19
OAuthFlow,2
OperationParameter,13
path_Parameter,11
ResponsesExtension,0
Enum_Depth_2,0
Format_int32_Depth_2,4
SchemaType_string,319
Link,0
HeaderComponent,0
ExternalDocExtension,0
Enum_Depth_1,90
ParameterExtension,0
Path_Get,1
Properties_Depth_3,0
SchemaComponent,13
CallbackComponent,0
ComponentExtension,0
GlobalExtension,0
OperationTag,18
Path_Delete,1
SchemaExtension_Depth_3,0
Component,26
Format_int32_Depth_1,7
ServerVariable,0
Format_int64_Depth_1,21
RequestBodyComponent,0
Responses,18
SchemaType_integer,12
ReadOnlySchema_Depth_1,2
OAuthFlowExtension,0
ResponseContent,5
query_Parameter,200
Items_Depth_1,14
SchemaExtension_Depth_2,0
ResponseComponent,0
