OpenAPI feature,Count
Path_Patch,1
CallbackComponent,0
OperationExtension,0
ParameterExtension,0
RequestBodyExtension,0
RefSchema_Depth_1,87
AdditionalProperties_Depth_3,2
Response,20
ReadOnlySchema_Depth_1,140
Path_Delete,2
OauthFlowTokenUrl,1
LinkComponent,0
OperationParameter,58
ResponseLink,0
Format_int32_Depth_2,26
OAuthFlowExtension,0
GlobalExternalDoc,1
Enum_Depth_4,0
Format_google-datetime_Depth_2,36
ExampleComponent,0
MediaTypeExtension,0
ResponsesExtension,0
ResponseContent,20
Link,0
SchemaExtension_Depth_3,0
Format_int32_Depth_1,43
HeaderComponent,0
OAuthFlowAuthorizationUrl,2
Tag,1
Enum_Depth_1,189
ResponseExtension,0
Properties_Depth_3,66
RefSchema_Depth_3,27
Component,53
OAuthFlow,2
ServerVariable,0
Example,0
PathServer,0
SchemaType_array,148
Format_google-fieldmask_Depth_1,2
ResponseCode_200,20
Items_Depth_1,86
Enum_Depth_3,20
SchemaExtension_Depth_4,0
ParameterComponent,11
SecuritySchemeComponent,2
ExternalDocExtension,0
GlobalExtension,0
TagExtension,0
RequestBodyContent_application/json,8
query_Parameter,192
RefSchema_Depth_2,100
SchemaComponent,40
RequestBody,8
SchemaType_object,314
Header,0
Callback,0
SchemaExtension_Depth_2,0
Operation,20
RequiredParameter,20
Responses,20
OAuthFlowScopes,2
Properties_Depth_1,488
SchemaType_integer,78
Properties_Depth_2,423
Items_Depth_3,13
Format_int64_Depth_2,8
ResponseContent_application/json,20
OAuthFlowsExtension,0
ResponseComponent,0
RequestBodyComponent,0
SecurityScheme_Type_oauth2,2
ServerExtension,0
Path_Post,7
RequestBodyContent,8
PathExtension,0
Items_Depth_2,49
ComponentExtension,0
RefSchema_Depth_4,4
Format_int64_Depth_1,6
GlobalWebhook,0
Server,1
Path,13
ResponseHeader,0
SchemaType_boolean,80
AdditionalProperties_Depth_2,26
SchemaType_string,818
Format_byte_Depth_1,5
Format_google-datetime_Depth_1,38
PathParameter,143
Path_Get,10
Enum_Depth_2,102
OperationTag,20
path_Parameter,20
Encoding,0
SchemaExtension_Depth_1,0
MediaTypeEncoding,0
Properties_Depth_4,8
ReadOnlySchema_Depth_2,132
AdditionalProperties_Depth_1,28
SecuritySchemeExtension,0
