OpenAPI feature,Count
RefSchema_Depth_2,199
RequestBodyExtension,0
SecurityScheme_Type_oauth2,2
CallbackComponent,0
Server,1
Items_Depth_1,74
MediaTypeExtension,0
TagExtension,0
ParameterComponent,11
RequestBodyContent_application/json,6
RefSchema_Depth_4,28
RefSchema_Depth_5,4
LinkComponent,0
ServerVariable,0
Path_Delete,1
Path_Patch,1
Properties_Depth_1,860
Schema_Depth_3,529
Format_byte_Depth_1,13
PathParameter,110
Format_int64_Depth_3,12
ExternalDocExtension,0
Schema_Depth_1,1128
ParameterExtension,0
Header,0
RefSchema_Depth_3,127
Properties_Depth_4,130
GlobalWebhook,0
Path_Get,7
OperationTag,14
SchemaExtension_Depth_1,0
OperationParameter,42
SchemaType_object,675
ReadOnlySchema_Depth_1,111
Format_google-datetime_Depth_3,6
OAuthFlowsExtension,0
Path,10
ResponseHeader,0
Items_Depth_4,2
Tag,1
Enum_Depth_3,226
Format_byte_Depth_4,8
Callback,0
RequestBodyComponent,0
OAuthFlowAuthorizationUrl,2
OperationExtension,0
SchemaExtension_Depth_2,0
ResponseExtension,0
AdditionalProperties_Depth_3,2
SecuritySchemeExtension,0
SchemaType_string,1468
SchemaComponent,85
GlobalExternalDoc,1
ComponentExtension,0
RefSchema_Depth_1,179
Enum_Depth_4,12
ReadOnlySchema_Depth_4,8
Items_Depth_2,41
Component,98
SchemaType_boolean,261
ReadOnlySchema_Depth_2,62
SchemaExtension_Depth_5,0
ResponseContent,14
Properties_Depth_5,14
OAuthFlow,2
OAuthFlowExtension,0
ResponsesExtension,0
Link,0
RequestBodyContent,6
PathExtension,0
Path_Post,5
Format_int64_Depth_2,12
Properties_Depth_3,462
RequestBody,6
ResponseComponent,0
SchemaType_integer,39
Format_int32_Depth_1,26
Schema_Depth_2,780
path_Parameter,14
SchemaType_array,144
ResponseLink,0
Schema_Depth_4,159
Schema_Depth_5,16
ServerExtension,0
Enum_Depth_2,266
AdditionalProperties_Depth_1,25
Encoding,0
ResponseCode_200,14
SchemaExtension_Depth_4,0
Responses,14
Response,14
Format_google-fieldmask_Depth_1,2
Enum_Depth_5,0
AdditionalProperties_Depth_2,26
SchemaExtension_Depth_3,0
Format_google-datetime_Depth_1,35
Format_google-datetime_Depth_2,24
Format_byte_Depth_3,8
OAuthFlowScopes,2
Enum_Depth_1,476
ResponseContent_application/json,14
PathServer,0
Items_Depth_3,27
Format_byte_Depth_2,10
SecuritySchemeComponent,2
GlobalExtension,0
Example,0
Properties_Depth_2,681
ExampleComponent,0
Operation,14
ReadOnlySchema_Depth_3,8
Format_int32_Depth_2,8
HeaderComponent,0
RequiredParameter,14
MediaTypeEncoding,0
query_Parameter,149
Format_int64_Depth_1,17
OauthFlowTokenUrl,1
