OpenAPI feature,Count
PathServer,0
RequestBodyComponent,0
TagExtension,0
Format_byte_Depth_2,2
MediaTypeExtension,0
RefSchema_Depth_3,9
Format_byte_Depth_1,9
Path_Delete,1
Component,48
path_Parameter,14
query_Parameter,159
ResponseContent_application/json,14
RequestBodyContent,5
Enum_Depth_4,0
OAuthFlowExtension,0
ServerExtension,0
Properties_Depth_1,339
ResponsesExtension,0
ResponseExtension,0
Link,0
OperationParameter,41
SchemaType_string,476
Items_Depth_1,44
Properties_Depth_3,18
Schema_Depth_4,7
GlobalExternalDoc,1
RequestBody,5
PathParameter,121
OAuthFlowsExtension,0
Example,0
SchemaType_boolean,71
ResponseLink,0
SchemaType_object,207
RefSchema_Depth_1,71
AdditionalProperties_Depth_2,17
SchemaExtension_Depth_4,0
ComponentExtension,0
Path_Get,8
OperationTag,14
ResponseCode_200,14
Operation,14
AdditionalProperties_Depth_3,2
ReadOnlySchema_Depth_2,40
Items_Depth_2,17
AdditionalProperties_Depth_1,13
PathExtension,0
ResponseComponent,0
Encoding,0
Enum_Depth_2,32
Properties_Depth_2,201
Format_google-datetime_Depth_1,23
Properties_Depth_4,0
OauthFlowTokenUrl,1
RequiredParameter,14
SchemaType_integer,39
Path_Post,4
Schema_Depth_2,258
SchemaExtension_Depth_3,0
ReadOnlySchema_Depth_1,92
Path_Patch,1
LinkComponent,0
GlobalExtension,0
Path,11
Enum_Depth_1,122
Header,0
Format_google-datetime_Depth_2,12
Format_int32_Depth_2,8
RequestBodyContent_application/json,5
SecuritySchemeComponent,2
ServerVariable,0
Response,14
ResponseHeader,0
SecurityScheme_Type_oauth2,2
ParameterExtension,0
MediaTypeEncoding,0
SchemaComponent,35
ParameterComponent,11
HeaderComponent,0
Server,1
Tag,1
Schema_Depth_1,566
OAuthFlowScopes,2
SchemaExtension_Depth_2,0
OAuthFlowAuthorizationUrl,2
OperationExtension,0
SchemaExtension_Depth_1,0
SchemaType_array,66
Schema_Depth_3,52
Format_google-fieldmask_Depth_1,2
GlobalWebhook,0
Enum_Depth_3,20
Callback,0
RequestBodyExtension,0
Format_int32_Depth_1,27
Items_Depth_3,5
Responses,14
ResponseContent,14
RefSchema_Depth_2,60
CallbackComponent,0
ExternalDocExtension,0
ExampleComponent,0
OAuthFlow,2
SecuritySchemeExtension,0
