OpenAPI feature,Count
Callback,0
Items_Depth_2,2
ParameterExtension,0
Format_int32_Depth_1,3
Enum_Depth_3,0
Properties_Depth_3,0
Enum_Depth_2,0
MediaTypeExtension,0
ResponseExtension,0
SecuritySchemeExtension,0
LinkComponent,0
ComponentExtension,0
RequestBodyComponent,0
Path,4
Enum_Depth_1,25
ResponseHeader,0
SchemaType_object,39
PathParameter,44
Component,20
SchemaExtension_Depth_3,0
PathServer,0
GlobalExternalDoc,1
TagExtension,0
SecurityScheme_Type_oauth2,2
SchemaType_boolean,9
query_Parameter,61
RefSchema_Depth_2,6
OAuthFlowAuthorizationUrl,2
ServerVariable,0
Items_Depth_1,7
ExternalDocExtension,0
RequestBodyExtension,0
Tag,1
ResponseContent,4
SchemaType_array,9
MediaTypeEncoding,0
Enum_Depth_4,0
Properties_Depth_4,0
RequestBodyContent,1
HeaderComponent,0
ResponseContent_application/json,4
ResponseLink,0
Link,0
PathExtension,0
AdditionalProperties_Depth_3,2
Path_Post,1
OauthFlowTokenUrl,1
SchemaType_string,83
Header,0
RefSchema_Depth_1,7
Properties_Depth_2,26
ExampleComponent,0
CallbackComponent,0
OperationParameter,10
SchemaExtension_Depth_1,0
Format_int32_Depth_2,2
SchemaComponent,7
OAuthFlow,2
RequestBodyContent_application/json,1
ParameterComponent,11
Operation,4
OperationTag,4
path_Parameter,4
Example,0
ResponsesExtension,0
SchemaType_integer,7
OAuthFlowExtension,0
ServerExtension,0
Path_Get,3
Responses,4
Response,4
SchemaExtension_Depth_4,0
OAuthFlowsExtension,0
GlobalExtension,0
Properties_Depth_1,32
SecuritySchemeComponent,2
OAuthFlowScopes,2
OperationExtension,0
Encoding,0
SchemaExtension_Depth_2,0
GlobalWebhook,0
ResponseComponent,0
Server,1
RequiredParameter,4
ResponseCode_200,4
AdditionalProperties_Depth_2,11
AdditionalProperties_Depth_1,6
RequestBody,1
