OpenAPI feature,Count
SchemaType_boolean,2
OAuthFlowExtension,0
ServerVariable,0
Operation,1
PathParameter,11
ResponseComponent,0
SecuritySchemeComponent,2
TagExtension,0
Enum_Depth_1,10
Link,0
OAuthFlowsExtension,0
ExternalDocExtension,0
Response,1
OAuthFlow,2
PathExtension,0
OAuthFlowScopes,2
LinkComponent,0
ServerExtension,0
RequiredParameter,1
SecurityScheme_Type_oauth2,2
GlobalWebhook,0
Header,0
ResponseContent,1
Component,14
ParameterComponent,11
OperationExtension,0
Path_Post,1
OperationTag,1
OperationParameter,1
Properties_Depth_1,4
Example,0
query_Parameter,22
Tag,1
Path,1
GlobalExternalDoc,1
SchemaComponent,1
SecuritySchemeExtension,0
ResponseCode_200,1
RefSchema_Depth_1,1
MediaTypeExtension,0
ResponseExtension,0
CallbackComponent,0
Encoding,0
ResponsesExtension,0
OauthFlowTokenUrl,1
ComponentExtension,0
Server,1
MediaTypeEncoding,0
OAuthFlowAuthorizationUrl,2
Responses,1
Callback,0
SchemaExtension_Depth_1,0
SchemaType_object,2
RequestBodyComponent,0
HeaderComponent,0
ResponseHeader,0
GlobalExtension,0
path_Parameter,1
ResponseContent_application/json,1
ResponseLink,0
PathServer,0
ExampleComponent,0
SchemaType_string,25
ParameterExtension,0
