OpenAPI feature,Count
SecuritySchemeComponent,2
OauthFlowTokenUrl,1
Tag,2
AdditionalProperties_Depth_1,7
ReadOnlySchema_Depth_2,8
RequestBodyExtension,0
query_Parameter,117
SchemaExtension_Depth_3,0
Response,15
Header,0
MediaTypeExtension,0
Schema_Depth_3,9
Format_google-duration_Depth_1,6
SchemaComponent,30
LinkComponent,0
TagExtension,0
ResponseContent_application/json,15
Responses,15
ExternalDocExtension,0
Schema_Depth_1,506
ParameterExtension,0
RequestBodyContent_application/json,9
ResponseComponent,0
GlobalWebhook,0
ServerExtension,0
SchemaType_boolean,45
SchemaType_integer,10
ComponentExtension,0
Server,1
SchemaType_object,147
RefSchema_Depth_2,16
ResponseExtension,0
Link,0
PathParameter,99
Path_Delete,1
ExampleComponent,0
OperationExtension,0
RequiredParameter,15
OAuthFlowScopes,2
ResponsesExtension,0
ResponseContent,15
SchemaType_array,55
Properties_Depth_2,55
Path_Post,7
PathExtension,0
Items_Depth_2,9
Properties_Depth_3,0
GlobalExtension,0
RefSchema_Depth_1,94
ResponseLink,0
Enum_Depth_3,0
CallbackComponent,0
Schema_Depth_2,108
SchemaExtension_Depth_2,0
Format_int32_Depth_1,8
OAuthFlowExtension,0
GlobalExternalDoc,1
OperationTag,15
Encoding,0
Enum_Depth_1,92
Properties_Depth_1,320
SchemaExtension_Depth_1,0
HeaderComponent,0
SecurityScheme_Type_oauth2,2
OAuthFlow,2
ServerVariable,0
OperationParameter,22
OAuthFlowsExtension,0
ResponseCode_200,15
MediaTypeEncoding,0
Callback,0
Component,43
RequestBodyComponent,0
Path_Get,5
SchemaType_string,366
RequestBodyContent,9
ParameterComponent,11
Example,0
RequestBody,9
Items_Depth_1,46
Enum_Depth_2,24
ReadOnlySchema_Depth_1,14
PathServer,0
Format_byte_Depth_1,5
Path,9
Operation,15
Path_Patch,2
OAuthFlowAuthorizationUrl,2
SecuritySchemeExtension,0
path_Parameter,15
ResponseHeader,0
