OpenAPI feature,Count
Properties_Depth_3,0
TagExtension,0
SchemaType_object,29
RefSchema_Depth_2,10
ComponentExtension,0
Schema_Depth_1,98
RequestBodyExtension,0
Items_Depth_1,10
ResponseContent,3
ResponseContent_application/json,3
SchemaType_string,92
PathParameter,33
SchemaType_boolean,4
ResponseComponent,0
ExampleComponent,0
GlobalExternalDoc,1
RefSchema_Depth_1,11
ResponseLink,0
Link,0
GlobalWebhook,0
GlobalExtension,0
Tag,1
path_Parameter,3
Properties_Depth_1,37
RequestBodyContent_application/json,3
SchemaComponent,8
ServerVariable,0
Enum_Depth_1,20
MediaTypeExtension,0
ResponsesExtension,0
SchemaType_integer,8
OAuthFlowExtension,0
ServerExtension,0
ResponseExtension,0
PathServer,0
SchemaExtension_Depth_3,0
Enum_Depth_2,0
ResponseHeader,0
ExternalDocExtension,0
Header,0
RequestBodyComponent,0
Path_Post,3
OperationTag,3
Encoding,0
ResponseCode_200,3
Items_Depth_2,5
Component,21
OAuthFlowsExtension,0
Path,3
ParameterExtension,0
RequestBodyContent,3
Schema_Depth_2,45
Format_byte_Depth_1,5
OAuthFlowAuthorizationUrl,2
OAuthFlowScopes,2
CallbackComponent,0
OperationParameter,3
SchemaExtension_Depth_1,0
Properties_Depth_2,35
MediaTypeEncoding,0
PathExtension,0
Format_int32_Depth_1,8
SecurityScheme_Type_oauth2,2
Server,1
SchemaExtension_Depth_2,0
Schema_Depth_3,5
Enum_Depth_3,0
HeaderComponent,0
OAuthFlow,2
OauthFlowTokenUrl,1
Operation,3
OperationExtension,0
RequestBody,3
SchemaType_array,15
Responses,3
query_Parameter,44
ParameterComponent,11
LinkComponent,0
RequiredParameter,3
Example,0
Response,3
Callback,0
SecuritySchemeComponent,2
SecuritySchemeExtension,0
