OpenAPI feature,Count
Operation,4
Schema_Depth_1,123
SchemaExtension_Depth_2,0
ResponseExtension,0
RequestBodyComponent,0
LinkComponent,0
Path,4
ResponseCode_200,4
Path_Patch,1
SchemaComponent,8
SchemaType_integer,2
ResponseHeader,0
RefSchema_Depth_2,5
Enum_Depth_2,0
Properties_Depth_3,6
RequestBodyContent,2
SchemaExtension_Depth_3,0
ResponseLink,0
ExampleComponent,0
ComponentExtension,0
OperationExtension,0
path_Parameter,4
SchemaType_string,106
Enum_Depth_1,40
Enum_Depth_3,0
Server,1
TagExtension,0
GlobalWebhook,0
Example,0
Schema_Depth_3,8
MediaTypeExtension,0
ExternalDocExtension,0
GlobalExternalDoc,1
OperationParameter,11
SchemaType_object,21
Schema_Depth_2,24
PathExtension,0
Component,19
CallbackComponent,0
Tag,1
Response,4
RefSchema_Depth_1,6
PathServer,0
HeaderComponent,0
RequiredParameter,4
ParameterExtension,0
Responses,4
ResponseContent_application/json,4
Items_Depth_2,2
ResponseComponent,0
ResponsesExtension,0
Header,0
RefSchema_Depth_3,2
Callback,0
ParameterComponent,11
Items_Depth_1,11
RequestBodyExtension,0
PathParameter,44
Path_Post,1
GlobalExtension,0
ServerExtension,0
OperationTag,4
Properties_Depth_1,43
SchemaExtension_Depth_1,0
query_Parameter,62
RequestBody,2
ServerVariable,0
Path_Get,2
SchemaType_array,13
Properties_Depth_2,13
SchemaType_boolean,13
SecuritySchemeComponent,0
Encoding,0
ResponseContent,4
MediaTypeEncoding,0
Link,0
RequestBodyContent_application/json,2
