OpenAPI feature,Count
Path_Post,17
ParameterExtension,0
Items_Depth_2,10
Format_byte_Depth_1,8
Encoding,0
Callback,0
PathParameter,140
Format_int64_Depth_1,45
Schema_Depth_3,58
SchemaExtension_Depth_3,0
Format_int64_Depth_2,18
ExternalDocExtension,0
SchemaComponent,40
ServerExtension,0
Header,0
PathExtension,0
Enum_Depth_2,0
SchemaExtension_Depth_2,0
Format_int32_Depth_1,18
Format_double_Depth_2,6
ResponseComponent,0
RequestBodyComponent,0
ResponseCode_200,20
GlobalWebhook,0
OperationTag,20
query_Parameter,149
RefSchema_Depth_2,10
OauthFlowTokenUrl,1
TagExtension,0
OperationParameter,2
Properties_Depth_1,701
ResponsesExtension,0
Link,0
Format_double_Depth_1,1
SecurityScheme_Type_oauth2,2
SchemaType_boolean,117
SchemaExtension_Depth_1,0
Path_Get,3
OAuthFlowExtension,0
SchemaType_number,7
ServerVariable,0
Operation,20
RefSchema_Depth_1,53
Enum_Depth_1,21
ResponseContent,20
Properties_Depth_2,158
Items_Depth_1,38
OAuthFlowAuthorizationUrl,2
OAuthFlowsExtension,0
SecuritySchemeExtension,0
GlobalExtension,0
Responses,20
Format_uint32_Depth_1,2
SecuritySchemeComponent,2
GlobalExternalDoc,1
ResponseLink,0
Schema_Depth_2,200
Enum_Depth_3,0
Component,49
ParameterComponent,7
OAuthFlowScopes,4
ResponseContent_application/json,20
Format_int32_Depth_2,12
HeaderComponent,0
LinkComponent,0
Server,1
Tag,1
MediaTypeExtension,0
MediaTypeEncoding,0
ResponseHeader,0
ResponseExtension,0
SchemaType_array,48
Schema_Depth_1,927
Example,0
AdditionalProperties_Depth_1,4
Format_byte_Depth_2,12
CallbackComponent,0
Path,20
SchemaType_object,116
PathServer,0
Properties_Depth_3,48
ExampleComponent,0
OAuthFlow,2
ComponentExtension,0
OperationExtension,0
RequestBody,17
RequestBodyExtension,0
RequestBodyContent_application/json,17
Format_uint64_Depth_1,8
SchemaType_integer,32
RequestBodyContent,17
SchemaType_string,865
Response,20
