OpenAPI feature,Count
path_Parameter,11
Example,0
RefSchema_Depth_3,5
RequestBodyComponent,0
SecurityScheme_Type_oauth2,2
ExternalDocExtension,0
OperationParameter,27
Schema_Depth_1,300
RequestBodyContent,5
Callback,0
LinkComponent,0
CallbackComponent,0
ComponentExtension,0
ResponseComponent,0
Operation,11
OperationExtension,0
RequiredParameter,11
Header,0
Enum_Depth_2,26
Items_Depth_2,15
Format_int32_Depth_1,10
GlobalExternalDoc,1
Format_google-datetime_Depth_2,4
GlobalExtension,0
Properties_Depth_1,140
ResponsesExtension,0
ResponseLink,0
SchemaType_boolean,21
Path_Get,5
ReadOnlySchema_Depth_2,12
AdditionalProperties_Depth_2,15
Path,8
Enum_Depth_1,82
Schema_Depth_2,143
Properties_Depth_4,0
SchemaExtension_Depth_4,0
Component,31
RequestBodyExtension,0
RequestBodyContent_application/json,5
RefSchema_Depth_1,23
PathServer,0
Schema_Depth_3,40
Format_google-fieldmask_Depth_1,2
AdditionalProperties_Depth_1,13
SecuritySchemeComponent,2
SecuritySchemeExtension,0
Responses,11
Link,0
ParameterComponent,11
ExampleComponent,0
TagExtension,0
ParameterExtension,0
ResponseExtension,0
Enum_Depth_3,20
AdditionalProperties_Depth_3,2
OAuthFlowScopes,2
Path_Patch,1
SchemaType_object,100
Response,11
SchemaExtension_Depth_3,0
Items_Depth_3,5
Schema_Depth_4,7
Enum_Depth_4,0
ReadOnlySchema_Depth_1,25
HeaderComponent,0
ResponseContent,11
Items_Depth_1,33
Format_google-datetime_Depth_1,8
Format_int32_Depth_2,2
ServerVariable,0
OperationTag,11
SchemaExtension_Depth_2,0
SchemaType_string,278
MediaTypeExtension,0
query_Parameter,115
Format_byte_Depth_1,5
SchemaType_integer,16
OAuthFlowsExtension,0
Server,1
SchemaExtension_Depth_1,0
ResponseContent_application/json,11
OAuthFlowAuthorizationUrl,2
OauthFlowTokenUrl,1
OAuthFlowExtension,0
Tag,1
Encoding,0
Properties_Depth_2,97
Properties_Depth_3,10
Path_Delete,1
ServerExtension,0
RequestBody,5
ResponseCode_200,11
ResponseHeader,0
PathParameter,88
SchemaType_array,53
RefSchema_Depth_2,24
SchemaComponent,18
OAuthFlow,2
GlobalWebhook,0
Path_Post,4
MediaTypeEncoding,0
PathExtension,0
