OpenAPI feature,Count
ServerVariable,0
SecuritySchemeComponent,2
query_Parameter,34
RequestBody,1
ExampleComponent,0
MediaTypeExtension,0
ResponseExtension,0
ResponseLink,0
Path_Post,1
GlobalExternalDoc,1
Path_Get,1
Encoding,0
Properties_Depth_1,44
GlobalWebhook,0
Component,16
HeaderComponent,0
TagExtension,0
ResponseCode_200,2
PathExtension,0
RequestBodyExtension,0
Operation,2
ResponseHeader,0
Header,0
CallbackComponent,0
ComponentExtension,0
Example,0
ResponsesExtension,0
RequestBodyComponent,0
OAuthFlowsExtension,0
ResponseContent,2
Link,0
RequestBodyContent,1
LinkComponent,0
SecurityScheme_Type_oauth2,2
OAuthFlow,2
OauthFlowTokenUrl,1
SchemaType_boolean,3
ParameterComponent,11
OAuthFlowAuthorizationUrl,2
OperationExtension,0
SchemaType_object,16
PathParameter,22
ResponseComponent,0
Response,2
Format_google-datetime_Depth_1,10
MediaTypeEncoding,0
OperationParameter,1
ParameterExtension,0
SchemaComponent,3
GlobalExtension,0
ResponseContent_application/json,2
PathServer,0
ExternalDocExtension,0
Enum_Depth_1,45
Callback,0
RequestBodyContent_application/json,1
Responses,2
RefSchema_Depth_1,13
SecuritySchemeExtension,0
ServerExtension,0
Path,2
OperationTag,2
OAuthFlowScopes,2
SchemaExtension_Depth_1,0
OAuthFlowExtension,0
Server,1
Tag,1
SchemaType_string,65
