OpenAPI feature,Count
SchemaType_number,66
Format_int32_Depth_2,15
RequestBodyComponent,0
SecuritySchemeComponent,2
SecuritySchemeExtension,0
Operation,6
OperationTag,6
Example,0
ParameterExtension,0
AdditionalProperties_Depth_2,7
HeaderComponent,0
TagExtension,0
OperationExtension,0
Properties_Depth_1,221
SchemaType_string,288
ResponseContent,6
Format_int32_Depth_1,7
SecurityScheme_Type_oauth2,2
Format_float_Depth_1,18
OAuthFlow,2
CallbackComponent,0
ServerExtension,0
ResponseContent_application/json,6
Items_Depth_2,6
query_Parameter,77
Format_int32_Depth_3,6
SchemaType_boolean,22
Component,40
AdditionalProperties_Depth_1,1
Server,1
Tag,1
Response,6
Enum_Depth_3,18
Properties_Depth_3,42
ServerVariable,0
ResponseCode_200,6
Properties_Depth_2,179
RefSchema_Depth_3,18
ResponseLink,0
LinkComponent,0
GlobalWebhook,0
SchemaType_object,161
Responses,6
ResponsesExtension,0
ResponseHeader,0
SchemaType_array,28
ResponseExtension,0
PathServer,0
OAuthFlowAuthorizationUrl,2
Path,6
RequestBodyExtension,0
RequestBodyContent_application/json,6
Enum_Depth_1,481
SchemaExtension_Depth_2,0
SchemaType_integer,28
ResponseComponent,0
OauthFlowTokenUrl,1
RequestBodyContent,6
Encoding,0
RefSchema_Depth_1,55
MediaTypeEncoding,0
OAuthFlowScopes,4
GlobalExternalDoc,1
Callback,0
OAuthFlowsExtension,0
Path_Post,6
OAuthFlowExtension,0
SchemaComponent,27
ExampleComponent,0
ComponentExtension,0
GlobalExtension,0
SchemaExtension_Depth_1,0
SchemaExtension_Depth_3,0
Format_float_Depth_3,12
OperationParameter,0
RequestBody,6
RefSchema_Depth_2,53
Format_float_Depth_2,36
PathParameter,66
Link,0
PathExtension,0
ParameterComponent,11
ExternalDocExtension,0
MediaTypeExtension,0
Header,0
Items_Depth_1,22
Enum_Depth_2,741
