OpenAPI feature,Count
MediaTypeEncoding,0
SchemaExtension_Depth_2,0
ParameterExtension,0
SchemaComponent,27
Operation,6
RequestBodyContent_application/json,6
Schema_Depth_1,363
SchemaType_array,28
Tag,1
Format_int32_Depth_2,15
Schema_Depth_3,55
Component,40
OperationParameter,0
Items_Depth_1,22
Format_int32_Depth_1,7
OAuthFlowAuthorizationUrl,2
ComponentExtension,0
Path,6
ServerVariable,0
Schema_Depth_2,202
PathServer,0
Enum_Depth_3,18
AdditionalProperties_Depth_2,7
GlobalExternalDoc,1
Server,1
RefSchema_Depth_1,55
MediaTypeExtension,0
Format_float_Depth_2,36
Link,0
SchemaType_boolean,22
ResponseComponent,0
OAuthFlow,2
RequestBodyContent,6
Properties_Depth_3,42
SecurityScheme_Type_oauth2,2
OauthFlowTokenUrl,1
SchemaType_number,66
Enum_Depth_2,741
OAuthFlowExtension,0
LinkComponent,0
Example,0
OperationTag,6
SchemaType_object,161
SchemaExtension_Depth_1,0
ExampleComponent,0
GlobalExtension,0
HeaderComponent,0
Enum_Depth_1,520
RequestBody,6
Properties_Depth_1,247
ResponseContent_application/json,6
SchemaType_integer,28
query_Parameter,77
Format_float_Depth_1,18
RefSchema_Depth_3,18
Path_Post,6
Format_float_Depth_3,12
Format_int32_Depth_3,6
SecuritySchemeComponent,2
SchemaExtension_Depth_3,0
ResponseHeader,0
Properties_Depth_2,179
RequestBodyComponent,0
OAuthFlowScopes,4
Response,6
RequestBodyExtension,0
SchemaType_string,314
Header,0
ResponseLink,0
PathExtension,0
Items_Depth_2,6
SecuritySchemeExtension,0
TagExtension,0
CallbackComponent,0
ResponseContent,6
OAuthFlowsExtension,0
Responses,6
OperationExtension,0
ResponsesExtension,0
ResponseCode_200,6
RefSchema_Depth_2,53
PathParameter,66
AdditionalProperties_Depth_1,1
ParameterComponent,11
ServerExtension,0
ResponseExtension,0
Callback,0
ExternalDocExtension,0
GlobalWebhook,0
Encoding,0
