OpenAPI feature,Count
Link,0
AdditionalProperties_Depth_3,2
SecuritySchemeExtension,0
ComponentExtension,0
RequestBodyContent_application/json,2
Format_int32_Depth_1,25
ResponseHeader,0
Schema_Depth_4,2
Enum_Depth_4,0
Server,1
Properties_Depth_1,322
Properties_Depth_2,247
RefSchema_Depth_3,4
Format_google-duration_Depth_1,5
Properties_Depth_4,0
CallbackComponent,0
Path,5
OperationExtension,0
SchemaType_array,69
ResponseContent,5
OauthFlowTokenUrl,1
Path_Post,2
RequiredParameter,5
Items_Depth_2,11
SchemaExtension_Depth_4,0
Format_google-datetime_Depth_1,4
OAuthFlowAuthorizationUrl,2
OAuthFlowScopes,2
ServerExtension,0
SchemaExtension_Depth_1,0
RequestBody,2
Schema_Depth_3,48
ResponseContent_application/json,5
Format_int64_Depth_1,1
RefSchema_Depth_1,53
Format_google-duration_Depth_2,4
Responses,5
ResponseCode_200,5
Callback,0
OperationParameter,11
Enum_Depth_1,64
RequestBodyContent,2
GlobalWebhook,0
PathServer,0
PathExtension,0
OAuthFlowExtension,0
AdditionalProperties_Depth_2,25
Header,0
PathParameter,55
RequestBodyComponent,0
SecurityScheme_Type_oauth2,2
ServerVariable,0
Enum_Depth_2,17
SchemaType_integer,55
Format_int32_Depth_3,5
Response,5
LinkComponent,0
ExternalDocExtension,0
OperationTag,5
Example,0
AdditionalProperties_Depth_1,26
RefSchema_Depth_2,66
ResponseLink,0
query_Parameter,72
ResponseComponent,0
OAuthFlowsExtension,0
ParameterExtension,0
Schema_Depth_2,331
SchemaExtension_Depth_2,0
GlobalExternalDoc,1
ExampleComponent,0
GlobalExtension,0
Component,48
Format_google-datetime_Depth_2,1
Enum_Depth_3,0
Format_int32_Depth_2,23
MediaTypeExtension,0
SchemaComponent,35
OAuthFlow,2
Tag,1
SchemaType_string,392
SchemaType_boolean,76
ResponsesExtension,0
ResponseExtension,0
path_Parameter,5
Schema_Depth_1,441
Encoding,0
SchemaType_object,211
Properties_Depth_3,12
SchemaExtension_Depth_3,0
Format_int64_Depth_2,6
MediaTypeEncoding,0
TagExtension,0
Operation,5
RequestBodyExtension,0
Path_Get,3
ParameterComponent,11
HeaderComponent,0
Items_Depth_1,58
SecuritySchemeComponent,2
