OpenAPI feature,Count
Callback,0
Format_google-duration_Depth_5,48
ReadOnlySchema_Depth_1,5
OAuthFlowAuthorizationUrl,2
ServerVariable,0
Responses,14
Items_Depth_3,378
SchemaExtension_Depth_5,0
Path_Delete,1
SchemaExtension_Depth_1,0
Path_Post,6
OAuthFlowScopes,8
ExternalDocExtension,0
Items_Depth_5,44
SchemaType_array,1013
Schema_Depth_3,3805
Format_int32_Depth_3,208
Format_int64_Depth_3,4
Format_google-duration_Depth_1,46
OauthFlowTokenUrl,1
Path_Get,6
RequestBodyContent_application/json,7
TagExtension,0
ParameterComponent,11
Format_double_Depth_4,44
MediaTypeEncoding,0
RefSchema_Depth_2,609
Format_int32_Depth_1,46
ReadOnlySchema_Depth_3,2
LinkComponent,0
RequestBody,7
SchemaType_integer,567
ResponseLink,0
OAuthFlowsExtension,0
GlobalExternalDoc,1
Format_byte_Depth_1,8
Items_Depth_1,113
SchemaType_object,2809
ExampleComponent,0
path_Parameter,21
Example,0
SchemaExtension_Depth_4,0
ResponseExtension,0
SchemaType_boolean,100
SchemaType_number,167
Format_google-duration_Depth_3,318
ServerExtension,0
Properties_Depth_1,706
RefSchema_Depth_3,1077
ResponseCode_200,14
Properties_Depth_2,1925
SchemaExtension_Depth_2,0
Enum_Depth_4,8036
RefSchema_Depth_4,728
Schema_Depth_6,44
RequestBodyComponent,0
Server,1
OperationParameter,34
MediaTypeExtension,0
Format_int64_Depth_2,16
AdditionalProperties_Depth_3,1
OAuthFlow,2
RefSchema_Depth_1,179
AdditionalProperties_Depth_2,15
Format_double_Depth_1,9
SecuritySchemeExtension,0
Enum_Depth_1,1570
Schema_Depth_4,2895
Enum_Depth_5,1600
AdditionalProperties_Depth_1,12
Path_Patch,1
Format_google-datetime_Depth_2,5
Link,0
Format_double_Depth_3,68
OAuthFlowExtension,0
GlobalWebhook,0
PathParameter,110
ResponseComponent,0
Format_double_Depth_5,8
HeaderComponent,0
SchemaExtension_Depth_3,0
RequestBodyContent,7
Properties_Depth_3,3554
ReadOnlySchema_Depth_2,7
SchemaType_string,5775
Enum_Depth_3,10174
ResponsesExtension,0
Enum_Depth_2,4603
Format_google-datetime_Depth_1,6
Response,14
PathServer,0
CallbackComponent,0
Format_int32_Depth_5,32
SchemaComponent,52
Schema_Depth_5,722
Format_int32_Depth_4,160
Format_int64_Depth_1,9
Format_double_Depth_2,38
Enum_Depth_6,0
query_Parameter,134
ResponseHeader,0
Format_google-duration_Depth_4,244
RefSchema_Depth_5,136
Tag,3
Schema_Depth_1,934
ResponseContent,14
Properties_Depth_4,2516
RequiredParameter,21
ResponseContent_application/json,14
RequestBodyExtension,0
PathExtension,0
Properties_Depth_5,480
ComponentExtension,0
GlobalExtension,0
Path,10
OperationTag,14
Header,0
Items_Depth_2,236
Format_google-duration_Depth_2,148
Properties_Depth_6,0
SchemaExtension_Depth_6,0
Format_google-datetime_Depth_3,2
Component,65
Encoding,0
ParameterExtension,0
SecuritySchemeComponent,2
SecurityScheme_Type_oauth2,2
Operation,14
Schema_Depth_2,2050
Format_int32_Depth_2,120
OperationExtension,0
Items_Depth_4,242
