OpenAPI feature,Count
Encoding,0
Properties_Depth_1,58
Responses,6
ResponseHeader,0
SchemaExtension_Depth_2,0
Link,0
Path_Patch,1
Operation,6
LinkComponent,0
RequestBodyExtension,0
Enum_Depth_1,94
SchemaExtension_Depth_1,0
MediaTypeEncoding,0
RequestBodyContent,2
ResponseComponent,0
TagExtension,0
ResponsesExtension,0
ReadOnlySchema_Depth_2,8
ServerExtension,0
SchemaType_integer,2
PathServer,0
Path,3
OperationExtension,0
OperationTag,6
Example,0
Header,0
RefSchema_Depth_1,8
ResponseExtension,0
Callback,0
Server,1
ParameterComponent,11
RequestBody,2
GlobalWebhook,0
SchemaType_string,109
path_Parameter,5
Format_google-datetime_Depth_2,4
ExternalDocExtension,0
SchemaType_boolean,20
PathExtension,0
query_Parameter,52
ReadOnlySchema_Depth_1,24
ComponentExtension,0
MediaTypeExtension,0
ResponseContent_application/json,6
SchemaType_array,4
GlobalExternalDoc,1
GlobalExtension,0
Enum_Depth_2,38
PathParameter,33
RequiredParameter,5
Format_google-datetime_Depth_1,12
SchemaComponent,5
CallbackComponent,0
OperationParameter,13
ParameterExtension,0
Response,6
ResponseContent,6
RequestBodyContent_application/json,2
Path_Post,1
ServerVariable,0
SchemaType_object,17
Items_Depth_1,4
ResponseLink,0
Path_Delete,1
RequestBodyComponent,0
SecuritySchemeComponent,0
ResponseCode_200,6
Properties_Depth_2,20
ExampleComponent,0
Path_Get,3
RefSchema_Depth_2,4
Component,16
HeaderComponent,0
Tag,2
