OpenAPI feature,Count
ResponseCode_200,15
Component,44
SchemaType_string,416
RefSchema_Depth_4,6
Format_uint32_Depth_5,2
SchemaType_integer,26
Enum_Depth_3,20
GlobalExtension,0
ParameterExtension,0
RequestBodyContent,7
Format_int32_Depth_1,12
RequestBodyExtension,0
LinkComponent,0
Tag,1
Example,0
Callback,0
RequiredParameter,15
PathExtension,0
SchemaComponent,31
TagExtension,0
SchemaType_array,107
SecurityScheme_Type_oauth2,2
OperationParameter,32
PathServer,0
SecuritySchemeExtension,0
Properties_Depth_3,46
ReadOnlySchema_Depth_2,12
Encoding,0
Response,15
RefSchema_Depth_2,68
Enum_Depth_5,0
SecuritySchemeComponent,2
SchemaExtension_Depth_3,0
ResponseLink,0
ReadOnlySchema_Depth_1,23
OAuthFlowAuthorizationUrl,2
RefSchema_Depth_1,58
Enum_Depth_2,10
Schema_Depth_3,95
Path,10
Format_uint32_Depth_4,2
Responses,15
ResponseContent,15
ServerExtension,0
SchemaType_object,233
MediaTypeExtension,0
MediaTypeEncoding,0
Schema_Depth_1,445
Items_Depth_1,50
SchemaExtension_Depth_2,0
ExampleComponent,0
ResponsesExtension,0
AdditionalProperties_Depth_2,21
Path_Post,6
Enum_Depth_4,0
SchemaExtension_Depth_5,0
GlobalWebhook,0
Format_byte_Depth_1,5
ExternalDocExtension,0
OperationTag,15
Header,0
Format_google-datetime_Depth_2,12
ResponseComponent,0
RequestBodyComponent,0
OperationExtension,0
ResponseExtension,0
AdditionalProperties_Depth_1,22
HeaderComponent,0
Link,0
PathParameter,110
SchemaExtension_Depth_1,0
Format_uint32_Depth_2,1
Format_int32_Depth_2,2
Format_google-fieldmask_Depth_1,2
OAuthFlowScopes,2
GlobalExternalDoc,1
Server,1
Properties_Depth_1,239
ResponseHeader,0
Format_google-datetime_Depth_1,18
RequestBody,7
RefSchema_Depth_3,25
SchemaExtension_Depth_4,0
Items_Depth_4,10
Properties_Depth_5,0
CallbackComponent,0
Path_Get,7
Schema_Depth_2,249
Items_Depth_2,28
Operation,15
Path_Patch,1
OAuthFlowExtension,0
ResponseContent_application/json,15
Format_uint32_Depth_3,1
OAuthFlow,2
Enum_Depth_1,65
Schema_Depth_4,37
OauthFlowTokenUrl,1
ComponentExtension,0
ServerVariable,0
path_Parameter,15
ParameterComponent,11
SchemaType_boolean,26
AdditionalProperties_Depth_3,2
OAuthFlowsExtension,0
RequestBodyContent_application/json,7
Items_Depth_3,19
Properties_Depth_4,16
Schema_Depth_5,10
query_Parameter,138
Properties_Depth_2,177
Path_Delete,1
