OpenAPI feature,Count
RequiredParameter,25
Response,25
HeaderComponent,0
Tag,1
Callback,0
Enum_Depth_4,12
OperationTag,25
ReadOnlySchema_Depth_2,44
PathParameter,165
Format_uint32_Depth_2,2
Path_Patch,1
SecuritySchemeComponent,2
TagExtension,0
path_Parameter,25
Properties_Depth_1,583
SchemaType_array,288
ServerVariable,0
Path,15
Format_google-fieldmask_Depth_1,2
Responses,25
ResponseHeader,0
AdditionalProperties_Depth_2,42
MediaTypeExtension,0
RefSchema_Depth_5,8
OAuthFlow,2
Format_int32_Depth_2,34
OperationExtension,0
Enum_Depth_1,135
SchemaType_object,497
RefSchema_Depth_1,99
RefSchema_Depth_2,115
ResponseCode_200,25
Properties_Depth_2,422
Properties_Depth_3,223
ExternalDocExtension,0
Format_google-duration_Depth_2,10
OauthFlowTokenUrl,1
LinkComponent,0
ReadOnlySchema_Depth_1,57
SchemaExtension_Depth_4,0
Format_google-datetime_Depth_2,32
Format_int32_Depth_4,12
SecurityScheme_Type_oauth2,2
Server,1
SchemaExtension_Depth_3,0
Format_int32_Depth_1,60
ResponseComponent,0
Operation,25
GlobalExternalDoc,1
Format_uint32_Depth_1,3
GlobalExtension,0
OperationParameter,57
SchemaType_integer,160
ResponsesExtension,0
Format_byte_Depth_1,5
Component,83
Format_google-duration_Depth_1,15
Enum_Depth_2,40
Format_int32_Depth_5,4
OAuthFlowAuthorizationUrl,2
RequestBodyContent,12
PathExtension,0
Properties_Depth_4,82
OAuthFlowExtension,0
MediaTypeEncoding,0
SchemaComponent,70
RequestBody,12
SchemaType_boolean,98
RefSchema_Depth_3,79
Enum_Depth_3,41
ResponseExtension,0
Format_google-duration_Depth_3,10
Path_Delete,1
OAuthFlowsExtension,0
Encoding,0
Path_Post,11
RefSchema_Depth_4,26
SchemaExtension_Depth_1,0
SchemaExtension_Depth_2,0
PathServer,0
Items_Depth_4,10
Enum_Depth_5,6
Properties_Depth_5,34
ResponseLink,0
Format_int32_Depth_3,32
GlobalWebhook,0
Items_Depth_2,90
SecuritySchemeExtension,0
query_Parameter,208
ParameterComponent,11
ParameterExtension,0
Header,0
Items_Depth_3,53
Format_uint32_Depth_3,2
ExampleComponent,0
ComponentExtension,0
ResponseContent,25
AdditionalProperties_Depth_1,48
ResponseContent_application/json,25
Items_Depth_1,135
Link,0
RequestBodyExtension,0
RequestBodyContent_application/json,12
Format_google-datetime_Depth_1,38
ServerExtension,0
Path_Get,12
AdditionalProperties_Depth_3,10
SchemaExtension_Depth_5,0
RequestBodyComponent,0
CallbackComponent,0
SchemaType_string,986
Example,0
OAuthFlowScopes,2
