OpenAPI feature,Count
SchemaExtension_Depth_2,0
SchemaExtension_Depth_4,0
Format_google-datetime_Depth_1,23
ExampleComponent,0
RequiredParameter,11
ResponseCode_200,11
Properties_Depth_3,464
Format_float_Depth_2,4
ExternalDocExtension,0
Operation,11
Enum_Depth_4,83
Format_google-duration_Depth_1,4
Format_google-datetime_Depth_3,16
Format_int32_Depth_3,16
OAuthFlowsExtension,0
MediaTypeExtension,0
MediaTypeEncoding,0
Items_Depth_2,51
Properties_Depth_5,470
SchemaComponent,69
SecuritySchemeExtension,0
RefSchema_Depth_1,149
ResponseLink,0
PathServer,0
Format_google-datetime_Depth_2,20
Properties_Depth_6,0
SecuritySchemeComponent,2
SchemaExtension_Depth_3,0
SchemaExtension_Depth_5,0
Items_Depth_5,24
GlobalWebhook,0
Callback,0
ReadOnlySchema_Depth_2,56
ResponseHeader,0
Enum_Depth_2,121
Path_Patch,1
RefSchema_Depth_3,125
AdditionalProperties_Depth_3,8
ResponseComponent,0
Schema_Depth_1,992
ParameterExtension,0
Items_Depth_3,42
Format_google-duration_Depth_2,4
Format_int64_Depth_1,18
RequestBody,3
RefSchema_Depth_2,121
Example,0
Enum_Depth_5,98
Format_byte_Depth_1,4
query_Parameter,119
ResponseContent_application/json,11
ReadOnlySchema_Depth_1,35
SchemaType_number,23
OAuthFlowScopes,2
Response,11
SchemaType_boolean,146
Items_Depth_4,30
Format_byte_Depth_3,2
OAuthFlow,2
Path_Get,7
SchemaType_string,1792
SchemaType_array,228
Link,0
TagExtension,0
path_Parameter,11
SchemaType_integer,73
AdditionalProperties_Depth_2,16
AdditionalProperties_Depth_1,12
ResponseExtension,0
Properties_Depth_4,412
SchemaExtension_Depth_6,0
Responses,11
Header,0
RefSchema_Depth_5,152
PathExtension,0
Format_int32_Depth_2,16
Enum_Depth_1,259
Properties_Depth_2,465
Format_int32_Depth_1,35
Format_byte_Depth_4,4
Schema_Depth_4,462
Component,82
Format_byte_Depth_2,2
HeaderComponent,0
SecurityScheme_Type_oauth2,2
Properties_Depth_1,779
Items_Depth_1,81
Schema_Depth_5,500
Format_float_Depth_1,11
OAuthFlowAuthorizationUrl,2
Enum_Depth_3,137
RequestBodyExtension,0
RequestBodyContent_application/json,3
Server,1
Schema_Depth_2,558
Schema_Depth_3,531
RequestBodyContent,3
ServerExtension,0
OperationTag,11
Path_Delete,1
Tag,1
Path,8
Path_Post,2
ComponentExtension,0
GlobalExternalDoc,1
SchemaExtension_Depth_1,0
ResponsesExtension,0
ParameterComponent,11
OauthFlowTokenUrl,1
ServerVariable,0
Format_int64_Depth_3,6
OAuthFlowExtension,0
CallbackComponent,0
SchemaType_object,789
Format_int64_Depth_4,18
PathParameter,88
Format_float_Depth_3,8
LinkComponent,0
OperationParameter,31
ResponseContent,11
OperationExtension,0
Format_int64_Depth_5,24
GlobalExtension,0
RefSchema_Depth_4,137
Format_int64_Depth_2,6
RequestBodyComponent,0
Encoding,0
Schema_Depth_6,24
Enum_Depth_6,0
