OpenAPI feature,Count
Path_Patch,1
Server,1
SchemaExtension_Depth_2,0
Enum_Depth_3,174
Format_int32_Depth_2,87
CallbackComponent,0
TagExtension,0
PathServer,0
OauthFlowTokenUrl,1
path_Parameter,14
Response,14
Tag,1
Properties_Depth_2,734
AdditionalProperties_Depth_3,6
Properties_Depth_4,122
PathExtension,0
Enum_Depth_2,473
ResponseExtension,0
AdditionalProperties_Depth_1,2
Responses,14
Callback,0
Format_google-datetime_Depth_2,24
Link,0
Format_int64_Depth_3,5
ParameterComponent,11
OAuthFlowAuthorizationUrl,2
Example,0
SchemaType_integer,256
Format_double_Depth_2,2
RequestBodyContent,8
Items_Depth_2,142
ResponseHeader,0
SchemaExtension_Depth_3,0
ReadOnlySchema_Depth_2,18
Path_Post,7
Format_google-duration_Depth_1,13
RefSchema_Depth_4,38
ResponseComponent,0
GlobalExtension,0
Path_Get,5
Enum_Depth_1,762
Items_Depth_1,348
MediaTypeExtension,0
OperationTag,14
RequiredParameter,14
Properties_Depth_3,373
Enum_Depth_4,40
SchemaComponent,62
ExternalDocExtension,0
ResponseContent,14
RequestBody,8
Items_Depth_3,62
HeaderComponent,0
ResponseContent_application/json,14
Format_google-duration_Depth_2,4
AdditionalProperties_Depth_2,18
Items_Depth_4,20
Component,75
SchemaType_string,1869
query_Parameter,134
ReadOnlySchema_Depth_1,54
Format_int64_Depth_4,2
GlobalWebhook,0
ResponseLink,0
LinkComponent,0
GlobalExternalDoc,1
Format_int32_Depth_4,30
SecuritySchemeExtension,0
RefSchema_Depth_2,203
Format_int32_Depth_3,28
Format_double_Depth_1,4
ResponsesExtension,0
ResponseCode_200,14
ServerExtension,0
Path,10
ExampleComponent,0
ComponentExtension,0
Operation,14
RefSchema_Depth_1,372
SchemaType_boolean,161
Format_int64_Depth_2,50
Format_int32_Depth_5,12
SecuritySchemeComponent,2
OAuthFlowScopes,2
SchemaType_object,818
Format_google-datetime_Depth_1,79
Format_int64_Depth_1,138
SchemaExtension_Depth_5,0
SchemaType_array,572
MediaTypeEncoding,0
RequestBodyContent_application/json,8
OAuthFlowExtension,0
OperationParameter,27
RequestBodyExtension,0
SecurityScheme_Type_oauth2,2
OAuthFlow,2
Properties_Depth_1,1623
ParameterExtension,0
Format_int32_Depth_1,95
RefSchema_Depth_3,117
SchemaExtension_Depth_4,0
Enum_Depth_5,0
ServerVariable,0
SchemaExtension_Depth_1,0
PathParameter,110
OperationExtension,0
Encoding,0
SchemaType_number,6
Properties_Depth_5,0
Path_Delete,1
Header,0
RequestBodyComponent,0
OAuthFlowsExtension,0
