OpenAPI feature,Count
Operation,6
ResponseContent,6
ResponseContent_application/json,6
Path_Get,2
OauthFlowTokenUrl,1
Encoding,0
query_Parameter,61
SchemaType_boolean,10
Properties_Depth_2,84
SchemaExtension_Depth_2,0
HeaderComponent,0
SecuritySchemeExtension,0
TagExtension,0
Example,0
OAuthFlowScopes,8
OAuthFlowsExtension,0
LinkComponent,0
ServerVariable,0
ServerExtension,0
RequestBodyContent_application/json,3
PathExtension,0
ExampleComponent,0
path_Parameter,6
ParameterExtension,0
Format_int64_Depth_1,9
Response,6
ResponsesExtension,0
OAuthFlowAuthorizationUrl,2
OAuthFlowExtension,0
Server,1
Properties_Depth_1,67
ResponseHeader,0
Enum_Depth_2,12
AdditionalProperties_Depth_1,4
SchemaType_string,184
ResponseCode_200,6
Path_Patch,1
SchemaComponent,8
GlobalWebhook,0
Path,4
RefSchema_Depth_1,13
Link,0
PathParameter,44
Component,21
GlobalExternalDoc,1
OperationExtension,0
OperationTag,6
Callback,0
SchemaType_array,8
Format_int64_Depth_2,12
OperationParameter,12
MediaTypeEncoding,0
Responses,6
ReadOnlySchema_Depth_2,16
Enum_Depth_1,34
PathServer,0
Path_Delete,1
CallbackComponent,0
RequiredParameter,6
Header,0
RefSchema_Depth_2,20
RequestBodyComponent,0
ExternalDocExtension,0
Path_Post,2
RequestBodyExtension,0
RequestBodyContent,3
ReadOnlySchema_Depth_1,16
MediaTypeExtension,0
ResponseExtension,0
ResponseLink,0
OAuthFlow,2
SchemaExtension_Depth_1,0
RequestBody,3
SchemaType_object,45
ParameterComponent,11
SecuritySchemeComponent,2
GlobalExtension,0
SecurityScheme_Type_oauth2,2
Tag,1
Items_Depth_1,8
ResponseComponent,0
ComponentExtension,0
