OpenAPI feature,Count
MediaTypeExtension,0
ServerExtension,0
Operation,1
OperationExtension,0
Example,0
Items_Depth_4,4
Items_Depth_5,2
SchemaType_integer,22
GlobalWebhook,0
Items_Depth_1,3
Enum_Depth_4,0
ExampleComponent,0
SecuritySchemeComponent,0
CallbackComponent,0
ExternalDocExtension,0
Enum_Depth_1,4
SchemaExtension_Depth_1,0
ParameterExtension,0
ResponseHeader,0
SchemaExtension_Depth_5,0
PathServer,0
ParameterComponent,7
Format_int32_Depth_1,22
query_Parameter,20
Encoding,0
Enum_Depth_2,0
ResponseCode_200,1
SchemaType_object,30
Items_Depth_3,4
Properties_Depth_6,4
ComponentExtension,0
GlobalExternalDoc,1
Server,1
OperationParameter,6
ExplodeParameter,1
SchemaType_array,15
Response,1
MediaTypeEncoding,0
HeaderComponent,0
SchemaExtension_Depth_4,0
ResponseLink,0
PathExtension,0
ResponseComponent,0
RequiredParameter,1
ResponseContent,1
RefSchema_Depth_1,1
Properties_Depth_5,8
LinkComponent,0
SchemaType_boolean,4
ResponsesExtension,0
Header,0
Format_byte_Depth_1,2
SchemaComponent,1
Properties_Depth_1,64
AdditionalProperties_Depth_1,2
GlobalExtension,0
SchemaType_string,68
SchemaExtension_Depth_3,0
Enum_Depth_6,0
Properties_Depth_2,6
SchemaType_number,2
SchemaExtension_Depth_6,0
Format_int64_Depth_1,16
Callback,0
OperationTag,1
SchemaExtension_Depth_2,0
Responses,1
Enum_Depth_3,0
Enum_Depth_5,0
ResponseExtension,0
Component,8
Format_double_Depth_2,2
Properties_Depth_4,12
ServerVariable,0
TagExtension,0
Path_Get,1
Properties_Depth_3,8
PathParameter,7
RequestBodyComponent,0
Tag,1
Path,1
ResponseContent_*/*,1
Items_Depth_2,2
Link,0
